序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7546788333142560026,国土面积只占全国约4%，却蕴藏了全国约20%的绿色能源！彩云之南，绿能澎湃！#绘说现代化,https://www.douyin.com/video/7546788333142560026,1757123587,57,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,35651,878,2152,757023,1454,video,,,,,,,,,
2,7546788333142560026,,,,,,,,,,,,L1,7546794449477616423,一直想问，那光伏到底用来干嘛。好些山头跟穿衣服一样到处都是，倒是好像没看到输送电力的方式,造麻几😈,95100252517,8,4,2025-09-06 10:16:52,广东,
3,7546788333142560026,,,,,,,,,,,,L1,7546844063363236667,云南人在云南找不到工作能不能管管那些骗子,乐游.,4089792524980980,0,0,2025-09-06 13:29:22,云南,
4,7546788333142560026,,,,,,,,,,,,L1,7546835922726863673,请问为什么说云南电力不够自用呢？,删除丶我的孤单,3900668852306348,11,17,2025-09-06 12:57:48,四川,
5,7546788333142560026,,,,,,,,,,,,L1,7546802595119072039,大家get到这是官方要干嘛了么？,小财潼,1326476148346553,7,5,2025-09-06 10:48:28,福建,
6,7546788333142560026,,,,,,,,,,,,L1,7546824635779220264,都有实景的建筑怎么都是AI,氺_恒,97352432053,2,2,2025-09-06 12:14:00,云南,
7,7546788333142560026,,,,,,,,,,,,L1,7546812238768030514,云南的油价太高了[呲牙],破釜沉舟,93709207579,28,17,2025-09-06 11:25:54,广东,
8,7546788333142560026,,,,,,,,,,,,L1,7546847692820349754,招点云南人[绿帽子][绿帽子],给你两锭子,109690862731,26,10,2025-09-06 13:43:28,新疆,
9,7546788333142560026,,,,,,,,,,,,L1,7546829966572733234,国土面积只有4%么？这么少么[发呆],鑫禾种业,108383564767,1,1,2025-09-06 12:34:42,云南,
10,7546788333142560026,,,,,,,,,,,,L1,7546877038163673902,懂事的云南人ID已经在外省了，打仗也猛，打工也很猛。[看],枫～🍁,77021501250,12,0,2025-09-06 15:37:20,江苏,
11,7546788333142560026,,,,,,,,,,,,L1,7546830060280431417,那还不是有很多人歧视云南[流泪],淡蓝色,97890998279,1,0,2025-09-06 12:35:02,云南,
12,7546788333142560026,,,,,,,,,,,,L1,7546861783924933418,可是工資低啊,龞潚,82489097149,29,2,2025-09-06 14:38:10,云南,
13,7546788333142560026,,,,,,,,,,,,L1,7546876424574255930,光伏板哪里最多昭通,独行侠,104731071549,0,1,2025-09-06 15:34:58,广东,
14,7546788333142560026,,,,,,,,,,,,L1,7546861890904834874,向家坝，站家里能看到的水电站[耶],想放假的红豆奶茶🫘,2217031316285853,0,1,2025-09-06 14:38:34,云南,
15,7546788333142560026,,,,,,,,,,,,L1,7546826534414451514,四座电站都是建在昭通的[憨笑],子非于,66758762822,2,1,2025-09-06 12:21:21,云南,
16,7546788333142560026,,,,,,,,,,,,L1,7546803234934031164,我家租了20亩给光伏公司,可待,62213232327,0,2,2025-09-06 10:50:56,浙江,
17,7546788333142560026,,,,,,,,,,,,L1,7546824393167504182,以前我一直疑问为什么不在雅鲁藏布江修水电站？,可别扯什么,2629659692116702,5,9,2025-09-06 12:13:03,湖南,
18,7546788333142560026,,,,,,,,,,,,L1,7546822659050308390,这又怎么样，云南出去外省务工还不是被歧视[看],朝朝穆穆,82838188987,6,0,2025-09-06 12:06:20,云南,
19,7546788333142560026,,,,,,,,,,,,L1,7546869278982587193,在广东打工的云南人,椿。,67972305947,0,0,2025-09-06 15:07:15,广东,
20,7546788333142560026,,,,,,,,,,,,L1,7546853471522685754,第一是哪个省,，，,1182730472664772,8,4,2025-09-06 14:05:53,四川,
