序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7549899600288140579,水丰、光富、风好、地广…青海在绿电领域的第一也太多了吧！一起感受中国式现代化的磅礴力量！#绘说现代化@人民网青海频道,https://www.douyin.com/video/7549899600288140579,1757847985,57,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3299,137,77,141051,95,video,,,,,,,,,
2,7549899600288140579,,,,,,,,,,,,L1,7549929439124669219,青海人在哪里🧐！！！,烎,59442953249,4,1,2025-09-14 21:02:13,青海,
3,7549899600288140579,,,,,,,,,,,,L1,7549964990473044795,朗朗乾坤，清风日月🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳🇨🇳,是水冰月呀🧸ྀི,75018395001,124,2,2025-09-14 23:20:10,上海,
4,7549899600288140579,,,,,,,,,,,,L1,7549967162946175778,山宗水源大美青海～欢迎大家,嘉禾🌾（嘉人+禾伙人）,3980648594545400,4,1,2025-09-14 23:28:36,青海,
5,7549899600288140579,,,,,,,,,,,,L1,7550071164694463289,大美青海，去一趟可以回忆一辈子的地方！[感谢][感谢][玫瑰][玫瑰],慧眼佛心,4503603191150033,6,1,2025-09-15 06:12:13,江苏,
6,7549899600288140579,,,,,,,,,,,,L1,7549924222396121897,最近想去青海，来个朋友推荐下最值得去的地方[黄脸干杯],安,70201029389,1,2,2025-09-14 20:41:58,贵州,
7,7549899600288140579,,,,,,,,,,,,L1,7550265883391968009,哇，一开头就是花儿[偷笑],繁花似锦觅安宁,94688507842,3,0,2025-09-15 18:47:47,四川,
8,7549899600288140579,,,,,,,,,,,,L1,7549952657621631787,青海把山水风光变成电，全国第一堆成山，这牌打得太牛！,南轩松,1754464077494631,1,0,2025-09-14 22:32:19,湖北,
9,7549899600288140579,,,,,,,,,,,,L1,7549921441903412028,风电风光无限，清洁能源,星佑铺子,1437750062222979,1,1,2025-09-14 20:31:10,湖北,
10,7549899600288140579,,,,,,,,,,,,L1,7549915940001268530,哇哇哇，我有钱了就去青海玩,毅碗白周,3373731488205319,3,0,2025-09-14 20:09:49,甘肃,
