序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7552348084685131054,追“风”逐“绿”！ 宁夏“绿电”0.0054秒即可闪送湖南，为国家构建新型能源体系贡献宁夏力量！#绘说现代化,https://www.douyin.com/video/7552348084685131054,1758418087,56,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2578,101,63,78920,61,video,,,,,,,,,
2,7552348084685131054,,,,,,,,,,,,L1,7552350132080001802,国家电网就是这么牛[呲牙],依然,1715652195527540,28,0,2025-09-21 09:35:44,宁夏,
3,7552348084685131054,,,,,,,,,,,,L1,7552349704874394426,家里电风扇终于修好了[泪奔][泪奔][泪奔],飞天舞,78764241846707,4,1,2025-09-21 09:34:06,新疆,
4,7552348084685131054,,,,,,,,,,,,L1,7552349036550112043,美图美景，尽收眼底！美不胜收[鼓掌][鼓掌][鼓掌],九月菊,73936118934,0,1,2025-09-21 09:31:31,江苏,
5,7552348084685131054,,,,,,,,,,,,L1,7552351039874155273,给我们东方大国点[赞][赞][赞][赞][赞][赞][爱心手][爱心手][爱心手][爱心手][爱心手][爱心手],成霞,3720381593034204,2,0,2025-09-21 09:39:15,江苏,
6,7552348084685131054,,,,,,,,,,,,L1,7552352670452613946,祖国大好河山太美啦[比心][比心][比心][比心],@紫^0^,1011179121286318,0,0,2025-09-21 09:45:36,甘肃,
7,7552348084685131054,,,,,,,,,,,,L1,7552349069978747708,宁夏的风追着光，在0.0054秒的奔赴里，把西北的旷野辽阔，变成了点亮万家的绿色心跳。,千金子,73088922654,1,0,2025-09-21 09:31:39,四川,
8,7552348084685131054,,,,,,,,,,,,L1,7552378784101942070,$国家电网就是t这么牛[呲牙][哈欠],长江,1795935596198505,4,0,2025-09-21 11:26:59,河北,
9,7552348084685131054,,,,,,,,,,,,L1,7552362170442810169,祖国的大好河山，风景美如画[玫瑰][玫瑰],桑榆💜,98890412480,0,0,2025-09-21 10:22:29,四川,
10,7552348084685131054,,,,,,,,,,,,L1,7552351694627013427,第十六,🌈理由🌈,75922657193,0,1,2025-09-21 09:41:48,河北,
11,7552348084685131054,,,,,,,,,,,,L1,7552379237123719982,祖国繁花盛世[赞][赞][赞],回忆未来,1006806377694205,0,0,2025-09-21 11:28:40,安徽,
12,7552348084685131054,,,,,,,,,,,,L1,7552351416477909818,江山如画，大美河山,天行健0086,3026275689322595,0,0,2025-09-21 09:40:44,江苏,
13,7552348084685131054,,,,,,,,,,,,L1,7552404991329157945,国家网点太牛了,兰兰,3414444940723187,3,0,2025-09-21 13:08:38,江西,
14,7552348084685131054,,,,,,,,,,,,L1,7552388375287153467,绿色环保…,彤去,96942264315,0,0,2025-09-21 12:04:08,新疆,
15,7552348084685131054,,,,,,,,,,,,L1,7552351572639204153,看世界风云这边风景独好[鼓掌][鼓掌]，谢谢,天行健0086,3026275689322595,1,2,2025-09-21 09:41:20,江苏,
16,7552348084685131054,,,,,,,,,,,,L1,7552431695687205668,宁电入湘,用户1086177010543,2276444868456572,0,0,2025-09-21 14:52:16,湖南,
17,7552348084685131054,,,,,,,,,,,,L1,7552358448030155571,加1整好100[呲牙][呲牙][呲牙][呲牙][呲牙],北斗七星,85238698055,0,1,2025-09-21 10:08:00,宁夏,
18,7552348084685131054,,,,,,,,,,,,L1,7552530020209754939,"江山如画，大美河山
塞上江南，神奇宁夏",大刘先生…,2999094103250231,0,0,2025-09-21 21:13:48,宁夏,
19,7552348084685131054,,,,,,,,,,,,L1,7552356566725706536,宁静的夏天,柯南.,93591528279,0,0,2025-09-21 10:00:42,辽宁,
20,7552348084685131054,,,,,,,,,,,,L1,7552452955263058747,强国强军强民强人才，富国富军富民富人才，㊗️愿祖国繁荣昌盛富强[比心][比心][玫瑰][玫瑰][憨笑][憨笑][烟花][烟花],光标行动（苏哥）光标速度,1858605454202859,0,0,2025-09-21 16:14:45,四川,
21,7552348084685131054,,,,,,,,,,,,L1,7552350520150016831,[比心][比心][比心][比心][比心],木果,51084721004,0,1,2025-09-21 09:37:16,新疆,
22,7552348084685131054,,,,,,,,,,,,L1,7552380468055393083,好担心配的音乐是：咱家风扇坏了，光转圈没有风[捂脸][捂脸],我在人间念旧人,3254178576335982,0,0,2025-09-21 11:33:28,重庆,
23,7552348084685131054,,,,,,,,,,,,L1,7552403376555410234,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][666][玫瑰][福],蟒塬凤山面香水甜果蔬鲜,1108758612949947,1,0,2025-09-21 13:02:21,陕西,
24,7552348084685131054,,,,,,,,,,,,L1,7574709696386155279,喜欢你的风格！😍 继续加油，期待下一个作品！💪,李桃桃,1259356041520234,0,0,2025-11-20 15:42:17,江苏,
25,7552348084685131054,,,,,,,,,,,,L1,7552356944838935355,[赞][赞][赞],贺兰县嘉昌房产中介店,4322868917711363,0,1,2025-09-21 10:02:11,宁夏,
26,7552348084685131054,,,,,,,,,,,,L1,7552349455338717994,秋分时节说宁夏，梅雨季节提江南,@木木记,89638490542,2,1,2025-09-21 09:33:07,广西,
27,7552348084685131054,,,,,,,,,,,,L1,7552350507408491305,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],木果,51084721004,0,1,2025-09-21 09:37:13,新疆,
28,7552348084685131054,,,,,,,,,,,,L1,7552378544387621672,[赞][赞][赞][赞][爱心][爱心][爱心],༻,2362170521434622,0,0,2025-09-21 11:26:00,四川,
