序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7554930180825861410,你用的电可能是甘肃来的！ 电力输送全国26个省份，甘肃正在从“风光”大省向“风光”强省加速跨越👍#绘说现代化,https://www.douyin.com/video/7554930180825861410,1759019274,52,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4671,125,269,169226,130,video,,,,,,,,,
2,7554930180825861410,,,,,,,,,,,,L1,7555046883489432380,亏了算我们的，用完都嘲笑我们这地方穷[捂脸],睿豆💝,4019413067246941,81,2,2025-09-28 16:00:33,甘肃,
3,7554930180825861410,,,,,,,,,,,,L1,7555192273845584655,风光电真的不适合沿海发展，台风过境一片狼藉，还是去内地吧,熊猫酱,108613502105,1,0,2025-09-29 01:24:50,广东,
4,7554930180825861410,,,,,,,,,,,,L1,7555148050894783275,甘肃不算大，但创造了中国神化[赞][赞][赞][比心][比心][比心][比心],金 豆,1673915691183452,1,0,2025-09-28 22:33:06,甘肃,
5,7554930180825861410,,,,,,,,,,,,L1,7555008759325115196,欢迎大家来甘肃看大风车！,🧧福🧧,3347371193810045,3,0,2025-09-28 13:32:34,甘肃,
6,7554930180825861410,,,,,,,,,,,,L1,7555083780286579498,穷人生来是给富人打工的，穷地方就是给发达地区提供资源的,灰玉兰,1346266439113102,3,4,2025-09-28 18:23:42,北京,
7,7554930180825861410,,,,,,,,,,,,L1,7555059345491739434,电价全国都一样吧，,记录每一天,96237718267,0,0,2025-09-28 16:48:55,甘肃,
8,7554930180825861410,,,,,,,,,,,,L1,7555062584572969787,知道甘肃为什么凉快了吧[捂脸][捂脸][捂脸][捂脸],那个狗蛋儿,70837905362,0,0,2025-09-28 17:01:28,甘肃,
9,7554930180825861410,,,,,,,,,,,,L1,7555075046001345339,所以带动了多少农民致富,一念无尘,1979592901921091,0,2,2025-09-28 17:49:49,陕西,
10,7554930180825861410,,,,,,,,,,,,L1,7555076462702330666,说不定有一处戈壁的太阳能板是我老爸装的呦[举手],.ᯅ,105532722488,2,0,2025-09-28 17:55:19,甘肃,
11,7554930180825861410,,,,,,,,,,,,L1,7554931987476284219,那甘肃的人用电很便宜吧,淡淡稻花香,101559317996,3,4,2025-09-28 08:34:40,福建,
12,7554930180825861410,,,,,,,,,,,,L1,7554965900526682939,什么时候把甘肃发展起来,甘肃医学院附属医院受害者家属,3455097301907243,13,1,2025-09-28 10:46:17,甘肃,
13,7554930180825861410,,,,,,,,,,,,L1,7555018191816098606,好像看到古坡草原了[比心],余晖,103623950231,2,0,2025-09-28 14:09:12,甘肃,
14,7554930180825861410,,,,,,,,,,,,L1,7554934537693381402,[吐舌小狗]甘肃不大创造神话,尼古拉斯大柱子,52709846381,1,1,2025-09-28 08:44:33,广西,
15,7554930180825861410,,,,,,,,,,,,L1,7554988969857139516,甘肃牛逼,H.,68395434668,2,0,2025-09-28 12:15:48,福建,
16,7554930180825861410,,,,,,,,,,,,L1,7554995780315775804,多给甘肃投资点,追风者,376452311972452,0,0,2025-09-28 12:42:13,甘肃,
