序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7561985253934370088,延安老区新能绿动未来！石油资源储量13.8亿吨、天然气资源储量3000亿方、可开发新能源规模1150万千瓦……红色延安向新而动逐绿前行！#绘说现代化  #AI大家创,https://www.douyin.com/video/7561985253934370088,1760661908,56,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2190,80,21,94092,36,video,,,,,,,,,
2,7561985253934370088,,,,,,,,,,,,L1,7561986420626260774,出息了，前排[灵机一动],H。。,3693949650736845,6,1,2025-10-17 08:49:27,安徽,
3,7561985253934370088,,,,,,,,,,,,L1,7562025895763641146,强大的国家资源！[赞],用户672334,71543217363,3,0,2025-10-17 11:22:39,江苏,
4,7561985253934370088,,,,,,,,,,,,L1,7561987761432380169,@果叔叔（家庭奶爸）祝祖国越来越强大，山河统一[比心],启航,251127036388316,3,0,2025-10-17 08:54:41,广西,
5,7561985253934370088,,,,,,,,,,,,L1,7562378313344910139,@蝶舞飞扬三句话总结到位，这才是人生[玫瑰][玫瑰][玫瑰],健身生活,159900358157408,0,0,2025-10-18 10:10:13,山西,
6,7561985253934370088,,,,,,,,,,,,L1,7561987554879685376,是时候该轮到俺们重庆了,是秃子终会发光,3266020283520884,2,0,2025-10-17 08:53:52,重庆,
7,7561985253934370088,,,,,,,,,,,,L1,7561986967589946138,祝祖国越来越强大，山河统一[比心],魏武帝,4020227483384503,2,0,2025-10-17 08:51:37,辽宁,
8,7561985253934370088,,,,,,,,,,,,L1,7561988351814599483,国富民强，延安雄起,𝑻𝒊𝒂𝒏.𝑺𝒉𝒂𝒏,97679110534,0,0,2025-10-17 08:56:58,河南,
9,7561985253934370088,,,,,,,,,,,,L1,7561989869736723259,经济繁荣[赞][赞][赞][赞],谈何容易,1732472167993470,0,0,2025-10-17 09:02:51,广东,
10,7561985253934370088,,,,,,,,,,,,L1,7562001340332655419,终于坐前排了,呜呜呜呜呜呜,283001435208280,0,0,2025-10-17 09:47:22,广东,
11,7561985253934370088,,,,,,,,,,,,L1,7561986655475073834,强大的国家资源！,李小逗『又活跃又爱点赞』有没有一起玩的！,71934883927672,1,0,2025-10-17 08:50:25,山东,
12,7561985253934370088,,,,,,,,,,,,L1,7562007428990042939,是不是————羊，煤，土（土豆），气（天然气）了。,寒舍人家农家乐,110292131948,1,0,2025-10-17 10:11:00,陕西,
13,7561985253934370088,,,,,,,,,,,,L1,7561987914554655503,前排前排[杀马特],南星,7389265454298645566,0,0,2025-10-17 08:55:17,河南,
