序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7564971243222125874,#湖南敢为天下新 在“三高四新”战略引领下，湖南正以前所未有的速度，创新发展、创造未来！#绘说现代化 解锁湘江之畔的创新密码👍#AI大家创,https://www.douyin.com/video/7564971243222125874,1761357132,57,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1552,91,61,60887,35,video,,,,,,,,,
2,7564971243222125874,,,,,,,,,,,,L1,7565039627355259705,大爱中国美如画，吃来衡阳鱼米之乡，欢迎光临！[赞][赞][赞][鼓掌][鼓掌][鼓掌],李绍玉,3703585859181757,1,0,2025-10-25 14:17:28,湖南,
3,7564971243222125874,,,,,,,,,,,,L1,7565129609723216680,湖南真好～欢迎来湖南[害羞],小小熊🐻,97912507437,0,0,2025-10-25 20:06:39,湖南,
4,7564971243222125874,,,,,,,,,,,,L1,7564978221449413413,"欢迎来到湖南-益阳南县
 我请你吃南县稻虾米 南县小龙虾呀[呲牙][憨笑]",寻味南洲 童掌柜💋,101926610534,0,0,2025-10-25 10:19:11,湖南,
5,7564971243222125874,,,,,,,,,,,,L1,7564982454227239695,今晚湘超株洲对战常德！猜球了！,龙小江～,3312209607793943,0,0,2025-10-25 10:35:36,湖南,
6,7564971243222125874,,,,,,,,,,,,L1,7565061956924932899,继续长株潭一体化为国家的贡献。,兰，美好未来,3355326459158604,2,0,2025-10-25 15:44:10,广东,
7,7564971243222125874,,,,,,,,,,,,L1,7564977304658330405,大爱中国美如画🇨🇳[送心][比心],喜诺爱种植,109688140651,2,0,2025-10-25 10:15:38,广西,
8,7564971243222125874,,,,,,,,,,,,L1,7565174064064840497,@,一拳锤爆地球🌍（桂圆版）,4503214395768606,0,0,2025-10-25 22:59:09,四川,
9,7564971243222125874,,,,,,,,,,,,L1,7564984973020005171,湖南欢迎你,银铃动山涧,62969714182,0,0,2025-10-25 10:45:22,湖南,
10,7564971243222125874,,,,,,,,,,,,L1,7564973918861640485,玩在长沙，吃在湘潭，欢迎来湖南！[玫瑰][玫瑰],墨宇,52038521577,3,0,2025-10-25 10:02:31,湖南,
