序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7567934233667259675,#这些大国重器都是辽宁造 ！以科技创新引领产业创新，为辽宁全面振兴注入新动能！一起感受中国式现代化的磅礴力量！#绘说现代化 #AI大家创,https://www.douyin.com/video/7567934233667259675,1762047010,82,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2006,121,53,65247,63,video,,,,,,,,,
2,7567934233667259675,,,,,,,,,,,,L1,7568285891325444883,辽宁新风貌 创新的辽宁 未来可期 前程似锦[赞][赞][赞],手可摘星程,62376587794,4,1,2025-11-03 08:14:41,辽宁,
3,7567934233667259675,,,,,,,,,,,,L1,7567938072664769317,黑吉辽，看天辽地宁啦[赞][赞][赞][赞][赞],盛世繁花,105724423675,10,2,2025-11-02 09:44:56,黑龙江,
4,7567934233667259675,,,,,,,,,,,,L1,7567948933757879077,国之重器[赞],乔峰,3460880260137707,5,1,2025-11-02 10:27:05,浙江,
5,7567934233667259675,,,,,,,,,,,,L1,7568655937067893545,辽宁新风貌 创新的辽宁 未来可期 前程似锦[赞][赞][赞],木的有名,1341858561660445,0,0,2025-11-04 08:10:39,山东,
6,7567934233667259675,,,,,,,,,,,,L1,7567936580536746804,再现振兴辽老大时的辉煌任重道远，，，！,大观人,110938518570,2,0,2025-11-02 09:39:08,辽宁,
7,7567934233667259675,,,,,,,,,,,,L1,7567937654931784458,战忽局又出手了[呲牙],bestow,3459520183155012,4,0,2025-11-02 09:43:17,江苏,
8,7567934233667259675,,,,,,,,,,,,L1,7567983449018549026,希望我大辽宁越来越好[感谢],燚㙓,58228973595,3,0,2025-11-02 12:40:59,江苏,
9,7567934233667259675,,,,,,,,,,,,L1,7569768192568263451,我们辽宁被央妈点名了[流泪][流泪][爱心][爱心],一颗赤诚的中国心,754701666361625,1,0,2025-11-07 08:06:43,辽宁,
10,7567934233667259675,,,,,,,,,,,,L1,7567956693780382490,[抱抱你][抱抱你] 打造 咱中国的奢侈品[一起加油][一起加油][超人][超人][超人][超人][超人][超人],58489388,3949060611383470,1,0,2025-11-02 10:57:11,辽宁,
11,7567934233667259675,,,,,,,,,,,,L1,7569856721678811919,重工业的摇篮，辽宁大连[玫瑰][玫瑰][玫瑰],肥沃的土地,3136262559238432,0,0,2025-11-07 13:50:16,江苏,
12,7567934233667259675,,,,,,,,,,,,L1,7567954696837727027,国之重器[赞],小草莓妈咪,423735087870032,3,0,2025-11-02 10:49:25,广东,
13,7567934233667259675,,,,,,,,,,,,L1,7567936091459846969,"发展好快啊[比心]
人工智能做视频真的省力又好看(｡･ω･｡)ﾉ♡",呱呱,571376161270579,3,0,2025-11-02 09:37:14,北京,
14,7567934233667259675,,,,,,,,,,,,L1,7568081501062333221,愿辽宁越来越好！,仙客来,105163943646,0,0,2025-11-02 19:01:29,辽宁,
15,7567934233667259675,,,,,,,,,,,,L1,7567970686548034314,国家战略部署是正确的地里格局,十三学姐,98945434507,0,0,2025-11-02 11:51:28,辽宁,
16,7567934233667259675,,,,,,,,,,,,L1,7567937912701600548,爱我大中华，爱我大辽宁[耶],花满阁,109920115353,0,0,2025-11-02 09:44:19,辽宁,
17,7567934233667259675,,,,,,,,,,,,L1,7567935418857227035,辽宁新风貌 创新的辽宁 未来可期，前程似锦,刘镕豪,97087007125,1,0,2025-11-02 09:34:39,山东,
18,7567934233667259675,,,,,,,,,,,,L1,7567957908836270891,这就是伟大的祖国,大白兔,2106272930597684,4,0,2025-11-02 11:01:53,河南,
19,7567934233667259675,,,,,,,,,,,,L1,7567935819877630777,中国🇨🇳好牛[赞][赞][赞],嫦娥,60766218912,4,0,2025-11-02 09:36:10,四川,
20,7567934233667259675,,,,,,,,,,,,L1,7567990370837332793,[赞][赞][赞][赞][赞][赞],凤姐,2198652032919224,0,0,2025-11-02 13:07:55,福建,
21,7567934233667259675,,,,,,,,,,,,L1,7568532976645980985,[赞][赞][赞],范饭的奇遇,100179044928,0,0,2025-11-04 00:13:28,河北,
22,7567934233667259675,,,,,,,,,,,,L1,7567980897183843098,[赞][赞][赞][赞][赞],平安健康好多钱,108585885538,0,0,2025-11-02 12:31:05,陕西,
23,7567934233667259675,,,,,,,,,,,,L1,7568139874512159537,大辽崛起👍🏻,赵洪学,4111777544026696,0,0,2025-11-02 22:48:00,辽宁,
24,7567934233667259675,,,,,,,,,,,,L1,7567959595223171877,振兴东北,Ayanami,58674491072,0,0,2025-11-02 11:08:26,广西,
25,7567934233667259675,,,,,,,,,,,,L1,7567935550632887067,中国🇨🇳制造遥遥领先[赞],最美天使,7514670177259963451,2,0,2025-11-02 09:35:08,四川,
26,7567934233667259675,,,,,,,,,,,,L1,7567936813966164746,我的沈阳很好很好,万多多在沈阳🥝,71231974568,0,0,2025-11-02 09:40:03,辽宁,
27,7567934233667259675,,,,,,,,,,,,L1,7567944134367953707,爱我中华！！！,元胡,93283768653,1,0,2025-11-02 10:08:26,河北,
28,7567934233667259675,,,,,,,,,,,,L1,7568032557557056293,@[赞][赞][赞][赞],*,259947535023864,0,0,2025-11-02 15:51:34,浙江,
29,7567934233667259675,,,,,,,,,,,,L1,7567939353374180115,中国🇨🇳智造[赞],@就爱听歌,3537598716065636,0,0,2025-11-02 09:49:55,浙江,
30,7567934233667259675,,,,,,,,,,,,L1,7569072242035835658,[赞][赞][赞],奶茶和汤圆,108293027270,0,0,2025-11-05 11:06:05,四川,
