序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7570155319674883328,#中国轻工业实力有多硬核 轻工业既事关人民美好生活，也关系国民经济增长。#绘说现代化 中国轻工业向新而行！#AI大家创 #媒体精选计划,https://www.douyin.com/video/7570155319674883328,1762564152,51,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1620,117,18,109377,34,video,,,,,,,,,
2,7570155319674883328,,,,,,,,,,,,L1,7570157072043033381,中国工业必将实现质的腾飞,凯科建筑-王浩,98947548328,3,3,2025-11-08 09:15:46,湖南,
3,7570155319674883328,,,,,,,,,,,,L1,7570271668943569690,为祖国轻工业点赞[赞],用户4038797781279,2390767187788340,1,0,2025-11-08 16:40:28,湖南,
4,7570155319674883328,,,,,,,,,,,,L1,7570155836850619142,[赞][赞][赞][赞][赞][赞],起风了🐼🐼🐼,50929451703,1,0,2025-11-08 09:11:00,四川,
5,7570155319674883328,,,,,,,,,,,,L1,7570186711209526053,程序……[666][666][666][666][666][666][666][666][666][666][666][666],和朝斌信仰权永久,3044991276419642,0,0,2025-11-08 11:10:46,陕西,
6,7570155319674883328,,,,,,,,,,,,L1,7570158367672107813,[赞],🌈小涛,96872351443,2,0,2025-11-08 09:20:47,浙江,
7,7570155319674883328,,,,,,,,,,,,L1,7570162998053176098,为祖国轻工业点赞[赞],坚强的心,2942708484933437,5,0,2025-11-08 09:38:45,河北,
8,7570155319674883328,,,,,,,,,,,,L1,7570159050697736997,[给力][给力][给力][给力][给力][给力][给力][给力],用户2208697544911,73890312047,0,0,2025-11-08 09:23:27,重庆,
9,7570155319674883328,,,,,,,,,,,,L1,7570165319316521778,郑州轻工业大学正当其时,财税规划,111184009000,0,0,2025-11-08 09:47:46,河南,
10,7570155319674883328,,,,,,,,,,,,L1,7570160147026297606,[发呆],跑不动的木头人,1204682554351918,0,0,2025-11-08 09:27:44,浙江,
11,7570155319674883328,,,,,,,,,,,,L1,7570161217823195904,[爱心][爱心][爱心][爱心][爱心][爱心][爱心],西安-田龙,3195609997908656,1,0,2025-11-08 09:31:52,陕西,
12,7570155319674883328,,,,,,,,,,,,L1,7570184199295664896,[赞][赞][赞],🌈🌸🌸🌈,99422721387,0,0,2025-11-08 11:01:02,湖南,
13,7570155319674883328,,,,,,,,,,,,L1,7570408342670197553,[赞],MrLiu·胜东🔥,59402806818,0,0,2025-11-09 01:30:50,广东,
14,7570155319674883328,,,,,,,,,,,,L1,7570181752461001499,[赞][赞][赞],非常优良,61537423372,0,0,2025-11-08 10:51:32,广东,
15,7570155319674883328,,,,,,,,,,,,L1,7570159911830225721,第六[呲牙],大道无为,109167677243,0,0,2025-11-08 09:26:47,浙江,
16,7570155319674883328,,,,,,,,,,,,L1,7570161219760423706,[赞][赞][赞][赞][赞][赞],爱拍摄的小陈🍀,78532093733,0,0,2025-11-08 09:31:51,福建,
17,7570155319674883328,,,,,,,,,,,,L1,7570156334105592625,[呲牙][呲牙][呲牙][呲牙][赞],花环🌻,483377832528272,1,0,2025-11-08 09:12:55,安徽,
18,7570155319674883328,,,,,,,,,,,,L1,7575099447437542195,[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],一生有你,102915139493,0,0,2025-11-21 16:54:42,浙江,
19,7570155319674883328,,,,,,,,,,,,L1,7570180380477653809,吓宝宝一跳[呲牙],🇨🇳光头Míng🔥🚀,104505241306,0,0,2025-11-08 10:46:12,广东,
20,7570155319674883328,,,,,,,,,,,,L1,7570365788185576249,[赞][赞][赞],季子花,111473611737,0,0,2025-11-08 22:45:41,浙江,
21,7570155319674883328,,,,,,,,,,,,L1,7570191262139122469,[爱心][爱心][爱心],一生回味一念,66914680249,0,0,2025-11-08 11:28:26,山东,
22,7570155319674883328,,,,,,,,,,,,L1,7570500277728609058,[赞][赞][赞],天光,2239084276482664,0,0,2025-11-09 07:27:36,湖北,
23,7570155319674883328,,,,,,,,,,,,L1,7570647257033458481,[赞][赞][赞][赞][赞][赞][赞][赞][赞],喜洋洋1,104997075436,0,0,2025-11-09 16:57:55,辽宁,
