序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7572380507174915363,开放大门越开越大，发展机遇世界共享！如今，中国已成为150多个国家和地区的主要贸易伙伴，货物贸易总额连续8年稳居全球第一。一起感受中国式现代化的磅礴力量！#绘说现代化,https://www.douyin.com/video/7572380507174915363,1763082242,41,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5649,166,214,218304,27,video,,,,,,,,,
2,7572380507174915363,,,,,,,,,,,,L1,7572399178098541361,祝福祖国繁荣昌盛国泰民安风调雨顺,多柳蒸刚,105138449331,11,0,2025-11-14 10:16:17,辽宁,
3,7572380507174915363,,,,,,,,,,,,L1,7576478496076464948,开放大门越开越大，发展机遇时节共享！,西红柿🌸,83778203739,0,0,2025-11-25 10:06:07,吉林,
4,7572380507174915363,,,,,,,,,,,,L1,7572382065682858811,爱我祖国[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],清风徐来🎀,68632469824,2,0,2025-11-14 09:09:54,山西,
5,7572380507174915363,,,,,,,,,,,,L1,7572390350233617209,祝福我的祖国繁荣昌盛富强！！[赞][赞][赞],✨大米周周ʚ⓻ɞ✨,1550781200999028,1,0,2025-11-14 09:42:01,山东,
6,7572380507174915363,,,,,,,,,,,,L1,7572382361149866787,中国牛逼。,苦瓜,81417970536,4,0,2025-11-14 09:11:03,安徽,
7,7572380507174915363,,,,,,,,,,,,L1,7572388567034807092,中国🇨🇳太漂亮了[赞][赞][赞][鼓掌][鼓掌][鼓掌][爱心][爱心][爱心][玫瑰][玫瑰][玫瑰],爱心,308339843281134,2,1,2025-11-14 09:35:09,广西,
8,7572380507174915363,,,,,,,,,,,,L1,7572423785132344102,爱我祖国[赞][赞][赞][玫瑰][玫瑰],阳阳好物,1820439205131607,0,0,2025-11-14 11:51:46,河北,
9,7572380507174915363,,,,,,,,,,,,L1,7572426897008116539,祖国繁荣富强[赞],好啦,2832762863940468,0,0,2025-11-14 12:03:51,广东,
10,7572380507174915363,,,,,,,,,,,,L1,7572450652581708584,开放包容[赞],梁朝伟,3368535400911592,0,0,2025-11-14 13:36:03,安徽,
