序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7320576816895348005,种地这件事中国人有多牛？中国人种出10亿亩高标准农田！#绘说现代化,https://www.douyin.com/video/7320576816895348005,1704454619,60,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,23559,683,427,946139,843,video,,,,,,,,,
2,7320576816895348005,,,,,,,,,,,,L2,7321216803321299739,1亩地产出的粮食能卖多少钱？,佛吉,105051547850,7,0,2024-01-07 13:00:25,陕西,
3,7320576816895348005,,,,,,,,,,,,L2,7321092456316470067,中华民族是一个农耕民族，谁不让我好好种地，我就把谁种在地里 [大金牙],远方的狼,2387745963514504,14,0,2024-01-07 10:31:35,内蒙古,
4,7320576816895348005,,,,,,,,,,,,L2,7321644926173102902,我们中国人应该发奋图强；田要种；自己国家有丰富卜不要求着外人的粮食充补；那些风坡`应该把仑开发：不要抱它掉风：这样我们有更丰富的粮食：用科技来推种；这才是我们中国的富有,芯语,2071129790883742,4,0,2024-01-08 16:41:49,广西,
5,7320576816895348005,,,,,,,,,,,,L2,7321570131607274292,现在种地都亏本[捂脸],奈斯CHEN,87638318319,6,0,2024-01-08 11:51:33,广东,
6,7320576816895348005,,,,,,,,,,,,L2,7320632034921415443,转基因农产品难道也是命根子吗[感谢][感谢][感谢][感谢],赵一鸣零食（浙江杭州中泰水塔路店）,83502542463,62,7,2024-01-05 23:11:14,浙江,
7,7320576816895348005,,,,,,,,,,,,L2,7321318528879198988,慢慢的都会承包出去，现在除了老一辈的种地，80、90都不会种地了。,河南矿山起重机,99353361389,4,0,2024-01-07 19:35:09,广东,
8,7320576816895348005,,,,,,,,,,,,L2,7321201657093718794,中国的土地还是要保护好[赞][赞][赞],思念妈妈,111315353676,2,0,2024-01-07 12:01:39,河南,
9,7320576816895348005,,,,,,,,,,,,L2,7320837238778249995,中国就是牛,阳阳的宝藏,96492448231,3,1,2024-01-06 12:27:32,河北,
10,7320576816895348005,,,,,,,,,,,,L2,7324234473321792275,我爸种的水稻，今年价钱还行，苞米到现在买不出去，老便宜啦，不到1块钱[捂脸][捂脸][捂脸],完美小妖,96725379651,7,0,2024-01-15 16:10:30,吉林,
11,7320576816895348005,,,,,,,,,,,,L2,7320643532149293864,"农民种田什么时候也有五险一金养老？
农业才会大发展！",冲锋号，战旗飘飘,2361390625989116,6,1,2024-01-05 23:55:52,四川,
12,7320576816895348005,,,,,,,,,,,,L2,7320940362632676150,您好！！耕地就是人类之父母。[赞][赞][赞][赞][赞][赞][赞][赞][赞]愿人民都要真实有效的保护好耕地不要土地荒废。,吕官保,893243421363912,3,0,2024-01-06 19:07:39,江西,
13,7320576816895348005,,,,,,,,,,,,L2,7320605512583709492,18亿亩耕地红线不能打破，高质量健康农田是标准,Karry Gu,99396983539,3,0,2024-01-05 21:28:20,江苏,
14,7320576816895348005,,,,,,,,,,,,L2,7320963562134143798,中国人要将饭碗牢牢的端在自己的手中才行[赞],竹清兰香,95801766313,2,0,2024-01-06 20:37:43,广东,
15,7320576816895348005,,,,,,,,,,,,L2,7320773273599361829,不挣钱，父辈们都老了，谁来种？,克莱因,60706165672,153,4,2024-01-06 08:19:22,山东,
16,7320576816895348005,,,,,,,,,,,,L2,7321520064803963663,科学发展[鼓掌][赞]，提高对农民的养老保障,用户thewholewideworld,2801174760406651,3,0,2024-01-08 08:37:17,浙江,
17,7320576816895348005,,,,,,,,,,,,L2,7320850597677794099,问你个转基因农产品危害是啥你又说不出个一二三,Huuuuuuuu亮🐾,95207567753,5,0,2024-01-06 13:19:20,新疆,
18,7320576816895348005,,,,,,,,,,,,L2,7320935047505740598,容易致癌,努力@拼搏,984751100928440,2,0,2024-01-06 18:47:03,江苏,
19,7320576816895348005,,,,,,,,,,,,L2,7320760242110513954,以后只会提，吃饱饭才是健康,用户1817015247536,92400861592,0,0,2024-01-06 07:28:48,广东,
20,7320576816895348005,,,,,,,,,,,,L2,7320653042037195530,种地那么牛，为什么股市就是不行呢[流泪][流泪],皮,3038705194893933,6,1,2024-01-06 00:32:47,江苏,
21,7320576816895348005,,,,,,,,,,,,L2,7320842713385042722,繁荣昌盛,阳阳好物,1820439205131607,1,0,2024-01-06 12:48:47,河北,
