序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7333060768440651035,给全世界一点中国新能源车的震撼！！#绘说现代化,https://www.douyin.com/video/7333060768440651035,1707361366,79,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5942,274,432,353623,265,video,,,,,,,,,
2,7333060768440651035,,,,,,,,,,,,L1,7333062915756442419,遥遥领先，为中国新能源车造车人点赞[赞],丹～,4240129773288797,6,1,2024-02-08 11:09:22,四川,
3,7333060768440651035,,,,,,,,,,,,L1,7333729716292272932,我就好奇，新能源车被困在湖北高速怎么样了？,柔情纸烟,3488082930701852,7,3,2024-02-10 06:17:00,北京,
4,7333060768440651035,,,,,,,,,,,,L1,7333075889247765299,只是一个加工厂，技术创新才是重要的,胖虎,2743997039386859,0,1,2024-02-08 11:59:45,广东,
5,7333060768440651035,,,,,,,,,,,,L1,7333062286218134309,请问一下，废弃电池的污染你们怎么解决？真是顾头不顾腚。小时候天天讲废弃电池污染有多严重，垃圾分类要单独投放,阿布辛波,2507334615053920,10,2,2024-02-08 11:07:00,山西,
6,7333060768440651035,,,,,,,,,,,,L1,7333115031720756004,能否解决新能源跑高速问题，充电一小时能跑5-6天,装修～于冰,2862736641636408,0,1,2024-02-08 14:31:37,黑龙江,
7,7333060768440651035,,,,,,,,,,,,L1,7333078904943215379,我以为BYD站起来了，没想到跳起来了[看],雨柔紫璇,100731758992,15,3,2024-02-08 12:11:27,河南,
8,7333060768440651035,,,,,,,,,,,,L1,7333914632090256178,[鼓掌][鼓掌][鼓掌][鼓掌]遥遥领先，为中国新能源车造车人点赞[赞],你可安好,2357809926121597,0,0,2024-02-10 18:14:27,安徽,
9,7333060768440651035,,,,,,,,,,,,L1,7333095516911715087,还是喜欢油车,🌈福星高赵🌈,2141476486393112,1,0,2024-02-08 13:15:53,新疆,
10,7333060768440651035,,,,,,,,,,,,L1,7334805833475965730,新能源汽车[666][666][666],花甲之年,1380579901714595,0,0,2024-02-13 03:53:18,河南,
11,7333060768440651035,,,,,,,,,,,,L1,7333123952069378831,耗电量太快了，还得专门抽时间去很远的地方充电，开了几天电车以后决定买油车[捂脸],A&Z,98720036317,1,0,2024-02-08 15:06:15,陕西,
12,7333060768440651035,,,,,,,,,,,,L1,7333206107899151144,扯蛋,大文,62587044822,0,0,2024-02-08 20:25:01,广西,
13,7333060768440651035,,,,,,,,,,,,L1,7333961744711631652,支持新能源汽车。[赞][赞][赞][赞][赞],平安是福😀,1750016238562030,0,0,2024-02-10 21:17:17,江苏,
14,7333060768440651035,,,,,,,,,,,,L1,7335105828641506085,今年回家高速上，电车可冻人？推车可嗨？,V💕,65116818120,0,0,2024-02-13 23:16:56,安徽,
15,7333060768440651035,,,,,,,,,,,,L1,7333122302873797414,好全新可忘[赞][赞],12,102999569453,0,0,2024-02-08 14:59:50,云南,
16,7333060768440651035,,,,,,,,,,,,L1,7336163656248132386,我的小牛还行．,龙翔131687114,103716320716,0,0,2024-02-16 19:41:50,广东,
17,7333060768440651035,,,,,,,,,,,,L1,7333068930820621091,加油加油,韦妹妹,95985606924,0,0,2024-02-08 11:32:44,广西,
18,7333060768440651035,,,,,,,,,,,,L1,7333076961089405747,遥遥领先，为新能源汽车点赞[大笑][大笑][大笑],文丽酱,105414018975,2,0,2024-02-08 12:03:55,湖南,
19,7333060768440651035,,,,,,,,,,,,L1,7333085191764083471,新能源汽车看中国，[赞][赞][赞][赞][赞][赞][赞],一笑倾城，只为你醉,1038372559126871,1,0,2024-02-08 12:35:49,山西,
20,7333060768440651035,,,,,,,,,,,,L1,7333076354529182500,新能源[比心][赞][色],英雄记,106609542024,0,0,2024-02-08 12:01:32,贵州,
21,7333060768440651035,,,,,,,,,,,,L1,7333064745031271206,我想到一个[抠鼻]太阳能[太阳],用户5950356937851,72608992742,0,0,2024-02-08 11:16:29,辽宁,
22,7333060768440651035,,,,,,,,,,,,L1,7333068160772784933,"每天24小时，
每一片太阳照耀的地方，
都有中国车奔跑在路上。
日不落的中国制造
[赞][赞][赞][赞][赞][赞][赞][赞][赞]",兦蹇,103632665682,0,0,2024-02-08 11:29:46,山西,
23,7333060768440651035,,,,,,,,,,,,L1,7333371006595597107,这个可以不,用户6575205456809,63730584830,0,0,2024-02-09 07:04:59,浙江,
24,7333060768440651035,,,,,,,,,,,,L1,7333236231771505408,我在等固态理电池[看],@阿强子,990011320709275,0,0,2024-02-08 22:21:55,贵州,
25,7333060768440651035,,,,,,,,,,,,L1,7333066745484641059,电池饿死了[泣不成声],渣渣灰᭄,108201363772,0,0,2024-02-08 11:24:18,贵州,
26,7333060768440651035,,,,,,,,,,,,L1,7333215744383648546,油电混动也是新能源绿牌，用电就跑50公里[捂脸],苏菲玛索,4270919629175688,0,0,2024-02-08 21:02:25,四川,
27,7333060768440651035,,,,,,,,,,,,L1,7333062693182505765,新能源汽车跑出中国“加速度”[鼓掌][鼓掌][鼓掌],丹～,4240129773288797,1,0,2024-02-08 11:08:32,四川,
28,7333060768440651035,,,,,,,,,,,,L1,7333064381817307930,啥时候，你能把绿牌照普及到东北，甚至俄罗斯，我就服了[感谢][抠鼻],用户5950356937851,72608992742,2,0,2024-02-08 11:15:04,辽宁,
29,7333060768440651035,,,,,,,,,,,,L1,7333062783330304779,大力支持国产新能源车占领世界汽车市场[赞][赞][赞][赞][赞][赞],淡然,2439162498914954,2,0,2024-02-08 11:08:55,广东,
30,7333060768440651035,,,,,,,,,,,,L1,7333062004179436338,芜湖起飞,Li,94163242394,1,0,2024-02-08 11:05:51,河南,
31,7333060768440651035,,,,,,,,,,,,L1,7333064232985969408,"祖国汽车多铁马
如箭离弦奔天涯
无论城市或荒野
驾驶征途耀中华",abcd2222在路上,2911939270294504,2,0,2024-02-08 11:14:29,河南,
32,7333060768440651035,,,,,,,,,,,,L1,7333062245849088831,强的,种土豆的小云（许嵩见过版）,86505106444,1,0,2024-02-08 11:06:48,湖南,
33,7333060768440651035,,,,,,,,,,,,L1,7335044580675978036,广告画面创造一流的[比心],以花🌼会友,1266261227736829,0,0,2024-02-13 19:19:17,河南,
34,7333060768440651035,,,,,,,,,,,,L1,7334126945531790131,为中国汽车人点赞加油,先宇宙,1239902136566280,0,0,2024-02-11 07:58:21,湖北,
35,7333060768440651035,,,,,,,,,,,,L1,7333410799899427610,好家伙,买卖不成仁义在,3628024849247619,0,0,2024-02-09 09:39:20,山东,
36,7333060768440651035,,,,,,,,,,,,L1,7333110970649412363,很高兴认识你,明光创新-无人机培训学院,2735207156822749,0,0,2024-02-08 14:15:54,北京,
37,7333060768440651035,,,,,,,,,,,,L1,7333063333044667145,遥遥领先，为中国新能源车点赞[赞],丹～,4240129773288797,1,0,2024-02-08 11:11:01,四川,
38,7333060768440651035,,,,,,,,,,,,L1,7333073838609253157,没钱买[我想静静],学会淡定,3865533037941325,0,0,2024-02-08 11:51:45,河南,
39,7333060768440651035,,,,,,,,,,,,L1,7333067911042630426,我买的是新能源车，很省钱 准备到时候换红旗eqm5,🇨🇳逍遥战神兔,4329296303,0,0,2024-02-08 11:28:45,山西,
40,7333060768440651035,,,,,,,,,,,,L1,7333236151370679052,明年电车会发电跑10万公里,@涛声依旧,2568878716362771,0,0,2024-02-08 22:21:36,河南,
41,7333060768440651035,,,,,,,,,,,,L1,7333099194159219467,祝所有的中国人2024年，更上一层楼。,蛐蛐在守村,3804731654013799,0,0,2024-02-08 13:30:11,安徽,
42,7333060768440651035,,,,,,,,,,,,L1,7333132134150079266,新能源养路费怎么收费,🌈名声在外,98357989700,0,0,2024-02-08 15:37:59,安徽,
43,7333060768440651035,,,,,,,,,,,,L1,7333450577953260329,石油作为战略储备物资被新能源取代是必然的趋势，要不然也不会全世界都在研究新能源，而我们国家在这方面走在了世界前面，为我们国家点赞[赞][赞][赞][赞][赞][赞],孤雁,2919924898214888,0,0,2024-02-09 12:13:43,河南,
44,7333060768440651035,,,,,,,,,,,,L1,7340402883450143527,[赞][赞][赞],′陈乃英,4385265950397837,0,0,2024-02-28 05:52:30,江苏,
