序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7336045049425300775,造船这件事中国有多牛？三大指标连续14年居世界第一！ #绘说现代化,https://www.douyin.com/video/7336045049425300775,1708056108,75,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,6381,295,327,301512,148,video,,,,,,,,,
2,7336045049425300775,,,,,,,,,,,,L1,7336087191128572707,的确很牛，希望不要影响我们军舰的建造。怕就怕一下外国资本把订单都给中国，让我们没有多余的时间和精力放在航母战斗群的建设上。,tzw*tyx,98476029712,8,3,2024-02-16 14:45:06,福建,
3,7336045049425300775,,,,,,,,,,,,L1,7336237462304719657,祝中国科技发达蒸蒸向荣[赞][赞][赞][爱心][爱心],芯语,2071129790883742,2,0,2024-02-17 00:28:20,广西,
4,7336045049425300775,,,,,,,,,,,,L1,7336110175974130432,这真的是一代又一代人的努力的，(｀•ω•´)ゞ敬礼っ[比心][比心][比心],是沫沫不是墨墨（流氓版）,2905388427786620,6,1,2024-02-16 16:14:20,湖北,
5,7336045049425300775,,,,,,,,,,,,L1,7336113476191322895,中国船业的辉煌是每一个劳动者辛勤付出多年的积累，为他们的无私奉献点赞！加油中国，我爱你！[赞][抱拳][赞],桀骜不驯♐️龙云,65852949408,4,0,2024-02-16 16:27:11,天津,
6,7336045049425300775,,,,,,,,,,,,L1,7336095807160599337,中国造船业一流水平，了不起！,心缘:,866845359868132,1,0,2024-02-16 15:18:34,湖南,
7,7336045049425300775,,,,,,,,,,,,L1,7520636240949986106,全球第一，那就拿下全球[呲牙]让我上我必上[微笑],用户4798136484147,3991644133394618,0,0,2025-06-27 22:29:38,新疆,
8,7336045049425300775,,,,,,,,,,,,L1,7336152945988485898,嘿😁大家好，我是老赖,董贤江,328121006425787,1,0,2024-02-16 19:00:17,广东,
9,7336045049425300775,,,,,,,,,,,,L1,7336195002228179721,[比心][比心][比心][赞][赞][赞][赞]作为中国人我很骄傲！！,执一笔轻烟，画一世流年,61213307632,1,0,2024-02-16 21:43:27,海南,
10,7336045049425300775,,,,,,,,,,,,L1,7337871444795507471,以国为傲，山河为荣，愿祖国山河，繁荣昌盛，国泰民安，越来越强大！,楚朔,2541702302150344,0,0,2024-02-21 10:08:56,辽宁,
11,7336045049425300775,,,,,,,,,,,,L1,7336074631886291721,祖国强大，雄伟壮观，为我是中国人而骄傲[感谢][感谢][感谢][鼓掌][鼓掌][赞][赞][赞][赞][赞][赞][赞][赞],用户7245528944850,3391374281948413,0,0,2024-02-16 13:56:24,四川,
12,7336045049425300775,,,,,,,,,,,,L1,7336052120523014921,中国造船技术，从古至今大部分时候都是世界领先地位。未来也必将是如此,差点长成美女,64784685377,4,0,2024-02-16 12:29:00,湖北,
13,7336045049425300775,,,,,,,,,,,,L1,7336175035771929385,中国船说 响誉世界[赞][赞][赞],dyguhmql5ik6,21643292321403,0,0,2024-02-16 20:25:59,河南,
14,7336045049425300775,,,,,,,,,,,,L1,7336474079569216293,的确很牛，希望不要影响我们军舰的建造。怕就怕一下外国资本把订单都给中国，让我们没有多余的时间和精力放在航母战斗群的建设上。,鹤壁辉煌演艺,3843510086417488,1,2,2024-02-17 15:46:28,河南,
15,7336045049425300775,,,,,,,,,,,,L1,7336083755189355314,好龙年大吉[赞][赞],12,102999569453,0,0,2024-02-16 14:31:49,云南,
16,7336045049425300775,,,,,,,,,,,,L1,7336101825243874048,祖国伟大，繁荣昌盛[赞],计划鱼,2032360530408632,0,0,2024-02-16 15:41:56,福建,
17,7336045049425300775,,,,,,,,,,,,L1,7336046946862416667,盛世来送货，战时做航母[赞],巧巧好物,111553602065,0,0,2024-02-16 12:08:58,云南,
18,7336045049425300775,,,,,,,,,,,,L1,7336049091678503716,咱们现在需要超大型改造的舰艇，因为在上面战机无人机的群聚式主副机配合使用，还有他的一个远程攻击导弹，以及坦克装备,悟道,110272116189,0,0,2024-02-16 12:17:17,陕西,
19,7336045049425300775,,,,,,,,,,,,L1,7336052522929029924,愿伟大的祖国繁荣昌盛 国泰民安！,佳++,2157671866699396,1,0,2024-02-16 12:30:34,广东,
20,7336045049425300775,,,,,,,,,,,,L1,7336061805581648703,拒绝转基因拒绝做小白鼠,自然豆,108877326556,0,0,2024-02-16 13:06:36,河南,
21,7336045049425300775,,,,,,,,,,,,L1,7338322688438928180,为什么残疾儿童读书只能读到十五岁呢？为什么就不能多读几年呢,乐在其善,2159051490986796,0,1,2024-02-22 15:20:01,湖南,
22,7336045049425300775,,,,,,,,,,,,L1,7336048934265717504,"洛神花开——图书出版

恭祝天下人们新年快乐、万事如意、阖家幸福！广进财源。

专业图书出版策划机构，常期致力于图书长规出版、自费出版、实体书出版、数字出版、校对排版、设计印刷、内地、港台、亚马逊海外出版上架等服务/ V:  13040849266",abcd2222在路上,2911939270294504,2,0,2024-02-16 12:16:40,河南,
23,7336045049425300775,,,,,,,,,,,,L1,7336089523414614825,祝贺我们的客船挺进世界各地[发呆][发呆][发呆],祖国的未来,4410838864114941,0,0,2024-02-16 14:54:12,安徽,
24,7336045049425300775,,,,,,,,,,,,L1,7336457448185070348,老祖宗造船就牛[抠鼻][抠鼻][抠鼻][抠鼻][抠鼻][赞],我有两只小老虎,92504191563,0,0,2024-02-17 14:41:56,山东,
25,7336045049425300775,,,,,,,,,,,,L1,7337698198478652160,中国加油[比心][比心][比心],💃💃晓*燕🎊🎉,97003223331,0,0,2024-02-20 22:56:38,广西,
