序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7344891279248985384,用AI视角打开“两会热词”，读懂人民的期盼。#绘说现代化,https://www.douyin.com/video/7344891279248985384,1710115771,157,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,34736,1940,2234,1151721,3501,video,,,,,,,,,
2,7344891279248985384,,,,,,,,,,,,L1,7345026047417893672,少年强则国强[赞][赞][赞][赞],蒲公英,1754468963592839,1,0,2024-03-11 16:52:30,甘肃,
3,7344891279248985384,,,,,,,,,,,,L1,7345024628396540691,医疗、教育、养老是大家普通关注的话题！,妙手丹青,681302068835068,0,0,2024-03-11 16:46:59,四川,
4,7344891279248985384,,,,,,,,,,,,L1,7345025576963556105,老有所依老有所养[赞],王捷,3386092839243800,0,0,2024-03-11 16:50:40,海南,
5,7344891279248985384,,,,,,,,,,,,L1,7345024913440686874,㊗️愿祖国更加强大[感谢][感谢][感谢],芝,111239069929,1,0,2024-03-11 16:48:03,湖北,
6,7344891279248985384,,,,,,,,,,,,L1,7345025537730134824,爱护学生健康,老帅,1772056790438283,0,0,2024-03-11 16:50:31,陕西,
7,7344891279248985384,,,,,,,,,,,,L1,7346071785659548456,全民呼吁医保调整，医保下调,@一颗pepper,96706509454,0,0,2024-03-14 12:30:25,贵州,
8,7344891279248985384,,,,,,,,,,,,L1,7345024569377325835,不错,用户4639673138832,1040610329643037,0,0,2024-03-11 16:46:42,广西,
9,7344891279248985384,,,,,,,,,,,,L1,7345027233435681571,真正的幸福就在眼前。,小澄子,70049784472,0,0,2024-03-11 16:57:02,四川,
10,7344891279248985384,,,,,,,,,,,,L1,7345656005064065818,取消中考，义务教育到高中，不要再卷孩子了,稳稳的幸福,101799042067,0,0,2024-03-13 09:37:02,福建,
11,7344891279248985384,,,,,,,,,,,,L1,7345025932262851382,为人民为大众[赞][赞][赞][赞][赞],昔尊古树茶传说,2796798507235911,0,0,2024-03-11 16:52:02,云南,
12,7344891279248985384,,,,,,,,,,,,L1,7344927732848444200,祖国繁荣昌盛国泰民安[赞][赞][赞][赞],甜筒～,575735956511677,1,0,2024-03-11 10:30:59,广东,
13,7344891279248985384,,,,,,,,,,,,L1,7345026570756670220,国家繁荣富强，人民安居乐业[赞],希望田野,308337760274456,0,0,2024-03-11 16:54:27,四川,
14,7344891279248985384,,,,,,,,,,,,L1,7345025022011130665,[赞][赞][赞],可可优选,104868378409,0,0,2024-03-11 16:48:31,江苏,
15,7344891279248985384,,,,,,,,,,,,L1,7345027713458471707,祝我们的祖国越来越繁荣富强，百姓安居乐业,桃桃1,3047492622756612,1,0,2024-03-11 16:58:56,辽宁,
16,7344891279248985384,,,,,,,,,,,,L1,7345025004393759528,春天的盛会,琴琴,1081518296669371,0,0,2024-03-11 16:48:24,浙江,
17,7344891279248985384,,,,,,,,,,,,L1,7345024600764334888,干的漂亮[赞],狂风林,4336938846792711,0,0,2024-03-11 16:46:53,湖北,
18,7344891279248985384,,,,,,,,,,,,L1,7345024850946671375,一切都是为了老百姓走向新时代更加和谐幸福的道路[奋斗],用户3719338329901,95103963615,0,0,2024-03-11 16:47:52,天津,
19,7344891279248985384,,,,,,,,,,,,L1,7345026378007348004,祝福祖国繁荣昌盛，越来越强大[赞][赞][赞],鹏程万里_19686,59056937632,0,0,2024-03-11 16:53:43,吉林,
20,7344891279248985384,,,,,,,,,,,,L1,7345685319976993571,大平台[赞][赞],风起云兮,1455347370831000,0,0,2024-03-13 11:30:47,江苏,
21,7344891279248985384,,,,,,,,,,,,L1,7345026399453119271,祖国繁荣昌盛，国泰民安[赞][赞],玲,676919894877469,0,0,2024-03-11 16:53:49,广东,
22,7344891279248985384,,,,,,,,,,,,L1,7345024121019925274,真不错[赞][赞][赞],平平淡淡,83228602962,0,0,2024-03-11 16:44:59,广东,
23,7344891279248985384,,,,,,,,,,,,L1,7345018973660660521,国事，家事，天下事，事事关心。风声，雨声，读书声，声声入耳。,4490,99054097235,0,0,2024-03-11 16:24:59,湖南,
24,7344891279248985384,,,,,,,,,,,,L1,7344974126078133011,不错不错哦哦,杨香爆爆,4107395192331901,0,0,2024-03-11 13:30:59,重庆,
25,7344891279248985384,,,,,,,,,,,,L1,7345024255396791074,[赞][赞][赞],知许,870468976642527,0,0,2024-03-11 16:45:31,江苏,
26,7344891279248985384,,,,,,,,,,,,L1,7344905990216893235,你好,…_,108753729144,1,0,2024-03-11 09:06:35,贵州,
27,7344891279248985384,,,,,,,,,,,,L1,7345012194843001609,@[赞],香水⭐⚡百合✨✨,103193480157,0,0,2024-03-11 15:58:41,湖南,
28,7344891279248985384,,,,,,,,,,,,L1,7344918792655307572,全力保障民生福祉[赞][赞][赞][赞][赞][赞],老顽童,110855545522,0,0,2024-03-11 09:56:17,四川,
29,7344891279248985384,,,,,,,,,,,,L1,7344894750527783721,早上好！,Ｆ,105078924950,0,0,2024-03-11 08:23:01,江苏,
30,7344891279248985384,,,,,,,,,,,,L1,7345019393472381706,祝福祖国繁荣昌盛国泰民安,快乐建华,1398184365791143,0,0,2024-03-11 16:26:37,黑龙江,
31,7344891279248985384,,,,,,,,,,,,L1,7345017957552587531,做的不错,天天,100708987209,1,0,2024-03-11 16:21:03,甘肃,
32,7344891279248985384,,,,,,,,,,,,L1,7344908746746905356,哇，这也太美了吧！[大笑][赞],🌞🍒夏日时光🌴🍀🍃,65297284848,0,0,2024-03-11 09:17:15,北京,
33,7344891279248985384,,,,,,,,,,,,L1,7345018666070639401,笑容真美[赞],慧乐欣好物,105194939438,0,0,2024-03-11 16:23:48,山东,
34,7344891279248985384,,,,,,,,,,,,L1,7344919447369777957,愿我们的祖国繁荣昌盛，国泰民安[比心][比心][比心],墨染山峦,721719945080220,0,0,2024-03-11 09:58:50,吉林,
35,7344891279248985384,,,,,,,,,,,,L1,7345021234777162534,很好[赞][赞],用户5983134268491,1341826336831064,0,0,2024-03-11 16:33:47,广西,
36,7344891279248985384,,,,,,,,,,,,L1,7344898548540228352,为祖国培养更多的人才[赞][赞][赞][赞][赞][赞],水源,2814346395912334,0,0,2024-03-11 08:37:44,广东,
37,7344891279248985384,,,,,,,,,,,,L1,7347829616453501750,[赞][赞][赞][一起加油][一起加油][一起加油][爱心][爱心][爱心],江运芳,2867168593587583,0,0,2024-03-19 06:11:51,江西,
38,7344891279248985384,,,,,,,,,,,,L1,7347683339577639689,[比心][比心][比心],小鱼糯糯,4001830578688958,0,0,2024-03-18 20:44:05,黑龙江,
39,7344891279248985384,,,,,,,,,,,,L1,7347307603942720282,第二[比心],马家闺女,59504989376,0,0,2024-03-17 20:26:01,河北,
40,7344891279248985384,,,,,,,,,,,,L1,7347262473663415090,2,平安喜乐*我心向阳,109662516486,0,0,2024-03-17 17:30:54,湖北,
41,7344891279248985384,,,,,,,,,,,,L1,7347083004055257895,[赞][赞][赞][一起加油][一起加油][一起加油][爱心][爱心][爱心],江运芳,2867168593587583,0,0,2024-03-17 05:54:40,江西,
42,7344891279248985384,,,,,,,,,,,,L1,7346889699258581801,[呲牙],雪儿💋,3353971910793395,0,0,2024-03-16 17:24:21,辽宁,
43,7344891279248985384,,,,,,,,,,,,L1,7346883335404372751,[鼓掌][鼓掌][鼓掌],L🐰,104451857026,0,0,2024-03-16 16:59:40,安徽,
44,7344891279248985384,,,,,,,,,,,,L1,7346842999983145768,第二[鼓掌],韩衣阁精品女装,71726171100,1,0,2024-03-16 14:23:12,河南,
45,7344891279248985384,,,,,,,,,,,,L1,7346739849032450856,2,开空调了,3192574197899438,0,0,2024-03-16 07:42:57,河北,
46,7344891279248985384,,,,,,,,,,,,L1,7346702625084244790,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-03-16 05:18:50,江西,
47,7344891279248985384,,,,,,,,,,,,L1,7346378411894358822,[赞][赞][赞],lionsheep,84784453086,1,0,2024-03-15 08:20:21,辽宁,
48,7344891279248985384,,,,,,,,,,,,L1,7346378260864942874,[赞][赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰],时光无痕,92958984710,0,0,2024-03-15 08:19:43,山东,
49,7344891279248985384,,,,,,,,,,,,L1,7346377529287525154,[爱心][爱心][爱心][爱心]第二,用户1224748242995,2157704066902339,0,0,2024-03-15 08:16:59,内蒙古,
50,7344891279248985384,,,,,,,,,,,,L1,7346328406432957238,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-03-15 05:06:32,江西,
51,7344891279248985384,,,,,,,,,,,,L1,7346181045060862759,[爱心][爱心][爱心],静静的一天,64061430687,0,0,2024-03-14 19:34:25,山西,
52,7344891279248985384,,,,,,,,,,,,L1,7345019604811563791,笑容甜美,@时光匆匆✨,3483688935107399,0,0,2024-03-11 16:27:30,甘肃,
53,7344891279248985384,,,,,,,,,,,,L1,7345019493242487561,为民造福，初心使命,🍁风一样～自由🍁,85344178492,0,0,2024-03-11 16:27:02,内蒙古,
54,7344891279248985384,,,,,,,,,,,,L1,7345019270059803427,好美[玫瑰],-天天向上-,3817984278931374,0,0,2024-03-11 16:26:12,河北,
55,7344891279248985384,,,,,,,,,,,,L1,7345022517565915938,暖心的惠民政策[赞],杰,2933129567540653,0,0,2024-03-11 16:38:45,云南,
56,7344891279248985384,,,,,,,,,,,,L1,7345019020380521267,还好,Mr.申,2245665783031305,0,0,2024-03-11 16:25:11,辽宁,
57,7344891279248985384,,,,,,,,,,,,L1,7345023920875586338,虚拟世界太美好了[赞][赞][赞],一路阳光,109553453441,0,0,2024-03-11 16:44:12,湖北,
58,7344891279248985384,,,,,,,,,,,,L1,7345021565351068457,祝愿祖国越来越好人民生活幸福,方茂,104280204502,0,0,2024-03-11 16:35:07,广东,
59,7344891279248985384,,,,,,,,,,,,L1,7345018725073126185,真心为群众服务,慧宝爱分享,106729908692,0,0,2024-03-11 16:24:05,山西,
60,7344891279248985384,,,,,,,,,,,,L1,7345024521916056370,越来越好[赞][赞],珍珠泉,2216228599639039,0,0,2024-03-11 16:46:34,江苏,
61,7344891279248985384,,,,,,,,,,,,L1,7345019692098896690,祝祖国越来越好,用户9735740049648,88381435944387,0,0,2024-03-11 16:27:48,广西,
62,7344891279248985384,,,,,,,,,,,,L1,7345018203909391123,祝祖国繁荣昌盛！,用户8211891093125,4163165257732184,0,0,2024-03-11 16:22:02,广西,
63,7344891279248985384,,,,,,,,,,,,L1,7345019501598524170,拍的很美,笑口常开,107899937872,0,0,2024-03-11 16:27:06,浙江,
64,7344891279248985384,,,,,,,,,,,,L1,7345023419405402880,感觉都好可爱啊,、 康康严选 。,71549301344,0,0,2024-03-11 16:42:19,辽宁,
65,7344891279248985384,,,,,,,,,,,,L1,7345744638243914533,愿祖国繁荣昌盛,ᥫᩣᩚ夏夏,56356481924,0,0,2024-03-13 15:20:56,河南,
66,7344891279248985384,,,,,,,,,,,,L1,7345023325301490458,和平共处，遵老爱幼！,风雨同舟,3720394966318615,0,0,2024-03-11 16:41:54,江苏,
67,7344891279248985384,,,,,,,,,,,,L1,7345023811957375744,能让农民越来越好就完美了[感谢][感谢],时光荏苒,1583758612105421,0,0,2024-03-11 16:43:46,山东,
68,7344891279248985384,,,,,,,,,,,,L1,7345018855058539279,科技引领生活[赞][赞][赞][赞][赞][赞][赞][玫瑰][V5],空白格,93018535007,0,0,2024-03-11 16:24:35,安徽,
69,7344891279248985384,,,,,,,,,,,,L1,7345021436672951077,让百姓共享发展成果！[赞][赞],小草,4454876171740076,0,0,2024-03-11 16:34:34,江西,
70,7344891279248985384,,,,,,,,,,,,L1,7345023467983668004,文明立世，文化兴邦。,臻鲜蛋品,501844015056733,0,0,2024-03-11 16:42:27,湖南,
71,7344891279248985384,,,,,,,,,,,,L1,7345026014194352906,会越来越好[赞][赞][赞],菟菟严选。,250317273312315,0,0,2024-03-11 16:52:20,广东,
72,7344891279248985384,,,,,,,,,,,,L1,7344900038702154546,心之所向[赞],🍒樱桃·虹🧚‍♀️,77863522527,0,0,2024-03-11 08:43:32,安徽,
73,7344891279248985384,,,,,,,,,,,,L1,7344896725180433189,哇塞哇塞🤩,山河,74627845969,0,0,2024-03-11 08:30:38,湖北,
74,7344891279248985384,,,,,,,,,,,,L1,7344913123726885682,国泰民安[赞],否则,764857520753917,0,0,2024-03-11 09:34:18,河北,
75,7344891279248985384,,,,,,,,,,,,L1,7344898844565816079,春暖花开又是一年。,一只煜煜崽,106175718973,0,0,2024-03-11 08:38:51,山东,
76,7344891279248985384,,,,,,,,,,,,L1,7344966400376095529,祖国繁荣昌盛,西安大拇指越野车灯音响,105004069365,0,0,2024-03-11 13:01:01,陕西,
77,7344891279248985384,,,,,,,,,,,,L1,7345017894188892928,祖国越来越好[赞][赞][赞][赞],平淡如水,3579647550828423,0,0,2024-03-11 16:20:48,江苏,
78,7344891279248985384,,,,,,,,,,,,L1,7345018064721806131,很不错,最帅小二,3949077662535339,0,0,2024-03-11 16:21:30,福建,
79,7344891279248985384,,,,,,,,,,,,L1,7345016899505783591,真捧[比心][比心][比心][福][福][福][赞][赞][赞],如意💋,108152082968,0,0,2024-03-11 16:16:58,四川,
80,7344891279248985384,,,,,,,,,,,,L1,7345017819321156392,健康平安是第一[赞][赞][赞],盛和好物,98222901545,0,0,2024-03-11 16:20:32,广东,
81,7344891279248985384,,,,,,,,,,,,L1,7345017258122511143,真捧[比心][比心][比心][鼓掌][鼓掌][赞][赞][赞],如意💋,108152082968,0,0,2024-03-11 16:18:19,四川,
82,7344891279248985384,,,,,,,,,,,,L1,7346130740507411212,[求求了],ё,3249757728552951,0,0,2024-03-14 16:19:13,天津,
83,7344891279248985384,,,,,,,,,,,,L1,7346078385297310473,第二[比心][比心][比心],隋海鸥ོ,3619180418965527,0,0,2024-03-14 12:56:06,北京,
84,7344891279248985384,,,,,,,,,,,,L1,7346074501787403034,[赞][赞][赞][赞][赞][赞][赞],舍得有舍就有得,3664034135826136,0,0,2024-03-14 12:40:59,云南,
85,7344891279248985384,,,,,,,,,,,,L1,7346062180061774630,[比心][比心][比心]前排,好运龙龙,4023868601932605,0,0,2024-03-14 11:53:10,陕西,
86,7344891279248985384,,,,,,,,,,,,L1,7346052142211990308,[赞][赞][赞],鸿运当头,1654136565675895,0,0,2024-03-14 11:14:14,湖南,
87,7344891279248985384,,,,,,,,,,,,L1,7346039604577551130,[赞][赞][赞],年华若无,76143737036,0,0,2024-03-14 10:25:35,河北,
88,7344891279248985384,,,,,,,,,,,,L1,7346037079413277466,[赞],用户4705733119964,83447330152,0,0,2024-03-14 10:15:47,广东,
89,7344891279248985384,,,,,,,,,,,,L1,7345819682384282387,[赞][赞][赞],丶0′,275332393346042,0,0,2024-03-13 20:12:10,重庆,
90,7344891279248985384,,,,,,,,,,,,L1,7345787264913785635,[比心][比心][比心],一生向阳,4103025349364940,0,0,2024-03-13 18:06:22,黑龙江,
91,7344891279248985384,,,,,,,,,,,,L1,7345705289486091059,[赞][赞][赞],活泼可爱的橘子,106354932199,0,0,2024-03-13 12:48:14,甘肃,
92,7344891279248985384,,,,,,,,,,,,L1,7345703830309258003,[赞][赞][赞],神空调皮,237147857625419,1,0,2024-03-13 12:42:36,广东,
93,7344891279248985384,,,,,,,,,,,,L1,7345692712588608295,[比心][比心],竹，👤,92563896128,0,0,2024-03-13 11:59:28,安徽,
94,7344891279248985384,,,,,,,,,,,,L1,7345678401052672808,[赞][赞][赞][赞][赞][赞][赞][鼓掌],和平相处,105545627273,0,0,2024-03-13 11:03:55,江西,
95,7344891279248985384,,,,,,,,,,,,L1,7345658523416609547,第二[玫瑰],墨客、,70278329187,0,0,2024-03-13 09:46:50,江苏,
96,7344891279248985384,,,,,,,,,,,,L1,7345653399322379043,[赞][赞][赞],回忆已成伤!经营生活日用品,105778122499,0,0,2024-03-13 09:26:54,吉林,
97,7344891279248985384,,,,,,,,,,,,L1,7345581451045569291,[赞][赞][赞][爱心][爱心][爱心][玫瑰][玫瑰][玫瑰],江运芳,2867168593587583,0,0,2024-03-13 04:48:04,江西,
98,7344891279248985384,,,,,,,,,,,,L1,7345027495597359909,[比心],再也不吃魔芋爽,58657869449,0,0,2024-03-11 16:58:04,山东,
99,7344891279248985384,,,,,,,,,,,,L1,7345027287010280226,[赞][赞][赞],似水流年,111244907657,0,0,2024-03-11 16:57:16,上海,
100,7344891279248985384,,,,,,,,,,,,L1,7345027284094550796,[比心][比心][比心],@时光,1504570403208830,0,0,2024-03-11 16:57:15,广东,
101,7344891279248985384,,,,,,,,,,,,L1,7345027264100270883,[赞][赞],余生安好.,254696312803693,0,0,2024-03-11 16:57:09,云南,
102,7344891279248985384,,,,,,,,,,,,L1,7345026827323294505,第二[赞][赞][赞],ZYU,92605435817,0,0,2024-03-11 16:55:29,海南,
103,7344891279248985384,,,,,,,,,,,,L1,7345026766664729407,[赞][赞][赞],爱打网球的刘先生,62646867488,0,0,2024-03-11 16:55:16,安徽,
