序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7353867736360996148,种树这件事中国有多努力？卫星视角看中国种出绿色奇迹🌳 #绘说现代化#捉春天大会,https://www.douyin.com/video/7353867736360996148,1712205768,111,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,39102,4945,6609,1837677,13194,video,,,,,,,,,
2,7353867736360996148,,,,,,,,,,,,L1,7353996173000049418,种树在中国是全民最重大的事情[赞][赞][赞],安静,105600785039,102,0,2024-04-04 21:01:04,河北,
3,7353867736360996148,,,,,,,,,,,,L1,7354187796733969186,植树造林，人人有责，造福子孙后代,露露,2330570461821688,76,0,2024-04-05 09:24:44,陕西,
4,7353867736360996148,,,,,,,,,,,,L1,7353994338885911311,我在蚂蚁森林种的树是真的吗？这对我很重要，有没有人解答一下[玫瑰][玫瑰][泪奔],亦道春风为我来,2942759154749483,1267,13,2024-04-04 20:53:58,浙江,
5,7353867736360996148,,,,,,,,,,,,L1,7354157778171413257,我在蚂蚁森林种的树是真的吗？这对我很重要，有没有人解答一下[玫瑰][玫瑰][泪奔],强哥江湖漂,3118664349122711,329,0,2024-04-05 07:28:16,重庆,
6,7353867736360996148,,,,,,,,,,,,L1,7354012947691553570,: 我在蚂蚁森林种的树是真的吗？这对我很重要，有没有人解答一下,周丘山,1226699895762579,364,0,2024-04-04 22:06:11,浙江,
7,7353867736360996148,,,,,,,,,,,,L1,7354058767577695003,植树造林[赞],赵小姐,967190789759591,16,0,2024-04-05 01:04:07,安徽,
8,7353867736360996148,,,,,,,,,,,,L1,7353993441314194212,你怎么没拍到我村呢？我村也很多树木的,小梅梅呀,95536658440,47,0,2024-04-04 20:50:29,广西,
9,7353867736360996148,,,,,,,,,,,,L1,7354198350500250402,植树\造林，人人有责，造福祖孙后代[赞][赞][赞],霞姐,4054621794357463,7,0,2024-04-05 10:05:42,广东,
10,7353867736360996148,,,,,,,,,,,,L1,7354158131352126258,植树造林，养护花草，人人有责[赞][赞][玫瑰][玫瑰][一起加油][一起加油],换,932832574976268,24,0,2024-04-05 07:29:36,河北,
11,7353867736360996148,,,,,,,,,,,,L1,7354235109555864347,沙海变绿洲，致敬所有治沙人，植树造林利国利民[赞][赞][赞],柔柔,3707201577565688,17,0,2024-04-05 12:28:17,广西,
12,7353867736360996148,,,,,,,,,,,,L1,7354004230540116771,我在蚂蚁森林种的树是真的吗？？？这对我真的很重要，懂的来普及一下[抠鼻][抠鼻][抠鼻][抠鼻],安琪～,64574493123,60,0,2024-04-04 21:32:22,江西,
13,7353867736360996148,,,,,,,,,,,,L1,7353874259079365410,从大说对全人类 对地球好 从小说对全中国 华夏子孙好,一城一画,103219319047,282,1,2024-04-04 13:08:01,黑龙江,
14,7353867736360996148,,,,,,,,,,,,L1,7353999306721313588,中国绿色，奇迹绿色,一叶知秋,1305848446454733,8,0,2024-04-04 21:13:17,吉林,
15,7353867736360996148,,,,,,,,,,,,L1,7354162871724507967,中国威武,三军,83721260039,35,0,2024-04-05 07:48:00,湖北,
16,7353867736360996148,,,,,,,,,,,,L1,7354191810388919074,植树造林保护生态环境,于,2973500664713304,11,0,2024-04-05 09:40:20,吉林,
17,7353867736360996148,,,,,,,,,,,,L1,7354196320376619830,植树造林，人人有责，造福子孙后代,幻语超甜,51260372440,7,0,2024-04-05 09:57:48,江苏,
18,7353867736360996148,,,,,,,,,,,,L1,7354143213190939446,沙海变绿洲[比心]致敬所有治沙人[送心],金玉满堂.,3887465884826605,19,0,2024-04-05 06:31:51,安徽,
19,7353867736360996148,,,,,,,,,,,,L1,7353876322245165876,植树造林，功在当代利在千秋！[赞][赞][赞][赞],起风了🐼🐼🐼,50929451703,260,1,2024-04-04 13:16:02,四川,
20,7353867736360996148,,,,,,,,,,,,L1,7354075927985374002,加油,大瑞瑞,109290452098,15,0,2024-04-05 02:11:01,上海,
21,7353867736360996148,,,,,,,,,,,,L1,7354192029729424128,又是一年植树时。,柚子花开,98776075206,12,0,2024-04-05 09:41:11,四川,
22,7353867736360996148,,,,,,,,,,,,L1,7353996433329439529,植树造林，造福子孙后代[送心],R珍惜,1591721595765640,226,0,2024-04-04 21:02:07,湖北,
23,7353867736360996148,,,,,,,,,,,,L1,7354168844237538082,绿色的田野，郁郁葱葱,余晖,1425389163907320,22,0,2024-04-05 08:11:10,北京,
24,7353867736360996148,,,,,,,,,,,,L1,7354123959858283302,祖国的大好山河。[赞],平淡,110936902677,11,0,2024-04-05 05:17:09,黑龙江,
25,7353867736360996148,,,,,,,,,,,,L1,7354123326711218994,卫星的上帝视角看绿色植物种植。绿化从我做起，正能量走起[机智],咩,84593561217,25,0,2024-04-05 05:14:47,辽宁,
26,7353867736360996148,,,,,,,,,,,,L1,7354168564767032100,植树造林，绿化祖国，造福人类,珠穆朗玛,1873216398439661,17,0,2024-04-05 08:10:05,吉林,
27,7353867736360996148,,,,,,,,,,,,L1,7353998826011444002,[赞][赞][赞][赞] 我在蚂蚁森林种的树是真的吗？这对我很重要，有没有人解答一下[玫瑰][玫瑰][泪奔],春天的牛,2462507840060072,9,0,2024-04-04 21:11:23,河南,
28,7353867736360996148,,,,,,,,,,,,L1,7354144677060723482,植树造林，造福人类[赞][赞][赞],流沙,1859964376202179,16,0,2024-04-05 06:37:25,广东,
