序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7357239472414674210,数字中国一路向前！1分钟看中国5G技术有多强。 #绘说现代化,https://www.douyin.com/video/7357239472414674210,1712990814,77,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,8137,760,1987,750986,415,video,,,,,,,,,
2,7357239472414674210,,,,,,,,,,,,L1,7357493392886973184,为啥我感觉农村的5G网速比城市5G网速要好。,大蘑菇、,95468719506,41,5,2024-04-14 07:12:10,广西,
3,7357239472414674210,,,,,,,,,,,,L1,7357512794982318898,发展太快大家觉得是好是坏,轮胎医生,1455368417837192,2,1,2024-04-14 08:27:25,四川,
4,7357239472414674210,,,,,,,,,,,,L1,7357293708569609014,快是快了，用也是用不起的[捂脸],徐yanyan,1398212562266508,5,1,2024-04-13 18:17:13,浙江,
5,7357239472414674210,,,,,,,,,,,,L1,7357350631348798262,哈哈，我嚣张一下，我4G，不限量，不限速[捂脸][捂脸][捂脸]，,宝哥♂,3232998183405251,6,2,2024-04-13 21:58:07,江苏,
6,7357239472414674210,,,,,,,,,,,,L1,7359505413745181467,月收入两千 一个月不够花 高铁坐不起 我要死在东北了吗[流泪],无论如何,85468133531,2,2,2024-04-19 17:19:49,黑龙江,
7,7357239472414674210,,,,,,,,,,,,L1,7357393942226699047,8G什么时候普及？,湘南大地散人,71467487588,0,1,2024-04-14 00:46:17,湖南,
8,7357239472414674210,,,,,,,,,,,,L1,7357381349638669056,以后会发展到多少G[捂脸],云游郝哥,3072470591740937,2,1,2024-04-13 23:57:24,湖北,
9,7357239472414674210,,,,,,,,,,,,L1,7358770202546307890,科技不但是第一生产力，更是保卫国家安全的第一要素。,晶体,369083070302206,1,1,2024-04-17 17:46:46,福建,
10,7357239472414674210,,,,,,,,,,,,L1,7357243374083425043,就是流量太贵了[噢买尬][噢买尬] 主要有两张电话卡总不能在开一个流量卡吧[噢买尬],小钱是个ENFP！（不瘦不改名版）,82261219309,2,0,2024-04-13 15:01:58,浙江,
11,7357239472414674210,,,,,,,,,,,,L1,7359245657884410662,为我们国家科技发展，国强民才强[赞],用户2960543442863,2774785916667303,1,0,2024-04-19 00:31:52,山东,
