序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7359779242793569573,覆盖人群更广、保障能力更强，1分钟看医保如何守护全民健康❤️#绘说现代化,https://www.douyin.com/video/7359779242793569573,1713582145,67,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4950,246,201,364149,199,video,,,,,,,,,
2,7359779242793569573,,,,,,,,,,,,L1,7359793462643196682,买不起了[捂脸]买了7年今年只能断保了,语嫣好物,108278632169,49,6,2024-04-20 11:57:34,四川,
3,7359779242793569573,,,,,,,,,,,,L1,7362734192675816231,让人民群众没有后顾之忧，然后敢消费，买车买房，为经济增长做贡献[赞],白甫易（爱唱歌的外卖小哥）,3438921776113213,2,0,2024-04-28 10:09:06,陕西,
4,7359779242793569573,,,,,,,,,,,,L1,7359782754420261672,有医保还是没便宜，只要去医院了，没啥病，也说有病,阳阳好物,1820439205131607,32,4,2024-04-20 11:16:00,河北,
5,7359779242793569573,,,,,,,,,,,,L1,7359791036387885824,我就想问农村医保为啥只有住院才能用？？,是王总呀,93451960531,30,6,2024-04-20 11:48:08,广东,
6,7359779242793569573,,,,,,,,,,,,L1,7359780662611575579,保障全百姓医疗权益，落到实处[鼓掌][鼓掌][鼓掌],顺毛啵啵~,95614615050,5,0,2024-04-20 11:07:52,广西,
7,7359779242793569573,,,,,,,,,,,,L1,7362528186222019347,现在的医院太坑人了有病没病，进到医院先检查一遍，检查费用太高了,天下太平,1007631901924247,2,0,2024-04-27 20:49:40,浙江,
8,7359779242793569573,,,,,,,,,,,,L1,7360249116662301474,交费难必须现金支付宝不能用，还要填写各种表！不如商业保险理赔快,安度晚年,63271611174,1,0,2024-04-21 17:25:43,北京,
9,7359779242793569573,,,,,,,,,,,,L1,7362363064538317609,医保为人民健康保驾护航[666][玫瑰],清浅,71158787283,1,0,2024-04-27 10:08:56,甘肃,
10,7359779242793569573,,,,,,,,,,,,L1,7361443589336957733,祝祖国更加繁荣富强[赞][赞],哈哈哈哈笑,1671678587312668,1,0,2024-04-24 22:40:51,广西,
11,7359779242793569573,,,,,,,,,,,,L1,7360661057294123776,为什么老家农村买的医保 在城市里不可用,言言💕,92789009525,3,0,2024-04-22 20:04:16,浙江,
12,7359779242793569573,,,,,,,,,,,,L1,7360297133293060915,为什么药店用医保买药比网上下单贵一倍[捂脸],小彭总,96618332302,0,0,2024-04-21 20:32:01,浙江,
13,7359779242793569573,,,,,,,,,,,,L1,7360324172001084169,我真不明白，7月份开始为什么要手动扣费，自动扣方便为什么不用了,专业回收空调，买卖，出租,99107061398,1,0,2024-04-21 22:16:58,广东,
14,7359779242793569573,,,,,,,,,,,,L1,7362166372007674636,我也宁愿我交的钱打水漂，也不愿生病和给国家家庭带来麻烦和负担。,木子纯手工私房馄饨水饺,86669298023,0,0,2024-04-26 21:25:40,甘肃,
15,7359779242793569573,,,,,,,,,,,,L1,7360471009201505061,说实话我是真没感觉，可能是现在的物价涨了！,秦有此理   冉而有趣,110222436164,1,0,2024-04-22 07:46:48,河南,
16,7359779242793569573,,,,,,,,,,,,L1,7360294854074975014,买不起了，今年就买了两个孩子和老婆的，我自己就不买了[捂脸][捂脸],吖吖吖,3800357722663875,1,0,2024-04-21 20:23:12,贵州,
17,7359779242793569573,,,,,,,,,,,,L1,7360146885078565641,农村医保在城市一点都不便捷,大只小只🐂¹².₂₀,60657190900,2,0,2024-04-21 10:49:01,甘肃,
18,7359779242793569573,,,,,,,,,,,,L1,7360128122618938153,两个人一年社保医保要交接近4万块钱，不是小数目呐，很多时候都是咬牙挺过去,红苕花,104204748384,1,0,2024-04-21 09:36:14,四川,
19,7359779242793569573,,,,,,,,,,,,L1,7362526733982040895,农村的老年人，没有经济来源，生病了没有钱去医院看，太难了,天下太平,1007631901924247,1,0,2024-04-27 20:44:03,浙江,
20,7359779242793569573,,,,,,,,,,,,L1,7360107282119787305,免疫药、靶向药太多不报销，家里一人得病，最后人财两空,wo的头痒,64026317056,1,0,2024-04-21 08:15:20,山东,
21,7359779242793569573,,,,,,,,,,,,L1,7360120855038542633,今年的医保已经报销完了[九转大肠],独一里,3249782476781692,3,0,2024-04-21 09:08:01,湖北,
22,7359779242793569573,,,,,,,,,,,,L1,7360099148106122036,压力太大了，医保越交越多[捂脸][捂脸][捂脸],老顽童,110855545522,3,0,2024-04-21 07:43:48,四川,
