序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7361022180467002658,爱读书、读好书、善读书！去年我国人均阅读纸质书4.75本，你看了几本？#绘说现代化,https://www.douyin.com/video/7361022180467002658,1713871542,79,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3504,148,86,255212,73,video,,,,,,,,,
2,7361022180467002658,,,,,,,,,,,,L1,7361024794256999219,董宇辉让我开始捡起纸质书,赵赵,68228416261,19,0,2024-04-23 19:35:44,辽宁,
3,7361022180467002658,,,,,,,,,,,,L1,7361026708398539547,读书是智慧的积累，优秀的人都喜欢读书，书籍是人类进步的阶梯[赞][赞],川流不息（有关注必回）,668103300612429,5,0,2024-04-23 19:43:09,云南,
4,7361022180467002658,,,,,,,,,,,,L1,7361045202549228325,跟着董宇辉，去年读了20多本书[玫瑰],一叶💞💞💞,791282209543272,26,0,2024-04-23 20:54:55,江西,
5,7361022180467002658,,,,,,,,,,,,L1,7367387839119835944,跟着宇辉，一起读书[比心],吾在，心安.,102208265611,2,1,2024-05-10 23:07:36,四川,
6,7361022180467002658,,,,,,,,,,,,L1,7361048938239001383,读书改变命运，书是人类进步的阶梯。,白甫易（爱唱歌的外卖小哥）,3438921776113213,3,0,2024-04-23 21:09:24,陕西,
7,7361022180467002658,,,,,,,,,,,,L1,7361077069906395923,知识是一座宝藏，等着我们去挖掘,@ 微微辣🌶,63313287759,2,0,2024-04-23 22:58:37,湖南,
8,7361022180467002658,,,,,,,,,,,,L1,7374555643796112168,[666][666][666],菊花,852836528953096,1,0,2024-05-30 06:42:28,甘肃,
9,7361022180467002658,,,,,,,,,,,,L1,7362339280281715467,爱读书，读好书，在知识的海洋里畅游,清浅,71158787283,2,0,2024-04-27 08:36:44,甘肃,
10,7361022180467002658,,,,,,,,,,,,L1,7361093563739112233,读书月……[赞][鼓掌][666][666][666][一起加油][一起加油][一起加油],猪头,100445078130,3,0,2024-04-24 00:02:41,浙江,
11,7361022180467002658,,,,,,,,,,,,L1,7361025413629362978,读书是智慧的积累，优秀的人都喜欢读书，书籍是人类进步的阶梯[赞],暖暖拖鞋工厂,2867114855111470,1,0,2024-04-23 19:38:08,河北,
12,7361022180467002658,,,,,,,,,,,,L1,7361225896466137882,爱上读书，学到知识，读到老，学到老[比心][比心][比心],崛起东方黎明🇨🇳,84555776500,1,0,2024-04-24 08:36:09,河北,
13,7361022180467002658,,,,,,,,,,,,L1,7361029346239316747,书香中国🇨🇳,用户2374170725800,2897963623391372,1,0,2024-04-23 19:53:26,黑龙江,
14,7361022180467002658,,,,,,,,,,,,L1,7361054775112958729,第一次完整百年目标。今年再接再厉,拾勒,3584019454506484,2,0,2024-04-23 23:08:06,湖南,
15,7361022180467002658,,,,,,,,,,,,L1,7361043434230874892,知识改变命运[赞],🍋,96665003857,1,0,2024-04-23 20:48:04,江苏,
16,7361022180467002658,,,,,,,,,,,,L1,7361047355154236160,我突破了0，看6本，超过了人均[捂脸][捂脸][捂脸],爱跑步的企服人（海内外服务）,93125053394,4,0,2024-04-23 21:03:17,江西,
17,7361022180467002658,,,,,,,,,,,,L1,7361074816399360777,一月至少一本[偷笑],z淺s笑m,55774769684,1,0,2024-04-23 22:49:51,贵州,
18,7361022180467002658,,,,,,,,,,,,L1,7361048644298769163,书是进步的阶梯，及时当勉励，岁月不待人。读书吧，每个阶段的你[比心],敏🍒🌻,1934792705204862,1,0,2024-04-23 21:08:17,广东,
19,7361022180467002658,,,,,,,,,,,,L1,7361025627165901605,跟着宇辉重新开始读纸质文学书，受益匪浅[一起加油][一起加油][一起加油],安妮郭郭,99267319822,15,0,2024-04-23 19:38:58,山东,
20,7361022180467002658,,,,,,,,,,,,L1,7362900866603418395,坚信：知识改变命运！[碰拳],猫小九猫天一权威,60308475569,1,0,2024-04-28 20:55:52,河南,
21,7361022180467002658,,,,,,,,,,,,L1,7361200201053193011,又是人均[赞][赞][赞],赵欧巴,111075742760,0,0,2024-04-24 06:56:27,江苏,
22,7361022180467002658,,,,,,,,,,,,L1,7361050359105782540,读书学知识 [赞][赞][赞][爱心][爱心][玫瑰][玫瑰],白姐,245890095791096,1,0,2024-04-23 21:14:55,四川,
23,7361022180467002658,,,,,,,,,,,,L1,7361366317260260130,知识改变命运,靓影（拒私聊）,2594468136751822,0,0,2024-04-24 17:41:05,河南,
24,7361022180467002658,,,,,,,,,,,,L1,7362061839155479315,去年我看了24本,vivi,97886733067,0,0,2024-04-26 14:40:03,四川,
25,7361022180467002658,,,,,,,,,,,,L1,7361023689402319635,我家宝宝5岁，现在天天阅读[比心][比心][比心],柠檬爆爆,93025407878,3,0,2024-04-23 19:31:28,北京,
26,7361022180467002658,,,,,,,,,,,,L1,7367541126150144804,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,1,0,2024-05-11 09:02:28,江西,
27,7361022180467002658,,,,,,,,,,,,L1,7365987829527184147,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,1,0,2024-05-07 04:35:24,江西,
28,7361022180467002658,,,,,,,,,,,,L1,7365019081152152356,[赞][赞][赞][赞][赞][赞],知足常乐！,3536472037134695,1,0,2024-05-04 13:55:38,湖北,
29,7361022180467002658,,,,,,,,,,,,L1,7364963122350719795,[我想静静],用户7274550216761,2893504843884951,0,0,2024-05-04 10:18:29,云南,
30,7361022180467002658,,,,,,,,,,,,L1,7364250988536382235,[赞][赞][赞][赞][赞],一💕一意,67397955509,0,0,2024-05-02 12:15:00,广东,
31,7361022180467002658,,,,,,,,,,,,L1,7363603923221021467,[赞][赞][赞],湘厨：王锦成：五魂湘菜九大长老,83545849754,1,0,2024-04-30 18:24:04,湖南,
32,7361022180467002658,,,,,,,,,,,,L1,7363138437274714934,[赞][赞][赞][比心][比心][比心],α二杨,97574564576,0,0,2024-04-29 12:17:46,陕西,
33,7361022180467002658,,,,,,,,,,,,L1,7362015858660524837,[赞][赞][赞],叶太发,110780135836,0,0,2024-04-26 11:41:34,江西,
34,7361022180467002658,,,,,,,,,,,,L1,7361706958917960511,n/f/'fbgtf,观海听涛,4305292374583939,0,0,2024-04-25 15:42:56,陕西,
35,7361022180467002658,,,,,,,,,,,,L1,7361660969007629106,@[爱心]驚住讚讚讚，讚咋[爱心][爱心],涨福气张铁功,1953145266111807,1,0,2024-04-25 12:44:26,河南,
36,7361022180467002658,,,,,,,,,,,,L1,7361647486303798070,[赞][赞][赞][鼓掌],🌈悦悦,3280576802458872,1,0,2024-04-25 11:52:07,黑龙江,
37,7361022180467002658,,,,,,,,,,,,L1,7365674581988442892,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,1,0,2024-05-06 08:19:22,江西,
38,7361022180467002658,,,,,,,,,,,,L1,7364302937671893796,[赞][赞][赞][赞][赞][赞][赞][赞],知足常乐！,3536472037134695,1,0,2024-05-02 15:36:39,湖北,
39,7361022180467002658,,,,,,,,,,,,L1,7361433596177007369,[赞][赞][赞],清风习习,3131856867567528,1,0,2024-04-24 22:02:05,浙江,
40,7361022180467002658,,,,,,,,,,,,L1,7361091037237101347,[比心][比心][比心],A孩子气💋,74459934801,1,0,2024-04-23 23:52:53,山东,
41,7361022180467002658,,,,,,,,,,,,L1,7361082138370392859,[赞],元气植生活馆（首播）晚21.10,3408115672560787,1,0,2024-04-23 23:18:17,广西,
