序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7370214795678649634,土特产出圈撑起大产业！截至2023年底，全国已有180个优势特色产业集群👍一人说一个家乡特产吧！ #绘说现代化,https://www.douyin.com/video/7370214795678649634,1716011872,74,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4205,146,112,257226,118,video,,,,,,,,,
2,7370214795678649634,,,,,,,,,,,,L1,7370221217205748532,农民，是大地的守护者，是田野的耕耘者，他们的伟大如璀璨星辰般闪耀于历史的长河。,景哈哈♥,76092055048,12,1,2024-05-18 14:22:37,浙江,
3,7370214795678649634,,,,,,,,,,,,L1,7370727089916314368,我想知道海南榴莲什么时候上市？,A'相濡以沫の朋友圈,3821527952267540,0,1,2024-05-19 23:05:39,陕西,
4,7370214795678649634,,,,,,,,,,,,L1,7370545062105776933,人民网，人民之网，各年龄段轮流值班[比心][比心][比心],Lucky(˵¯͒〰¯͒˵),92496376336,8,0,2024-05-19 11:19:16,江苏,
5,7370214795678649634,,,,,,,,,,,,L1,7370222925050364711,人民网账号今天交到70后手里了？,元宝哥,87228200112,24,2,2024-05-18 14:29:16,安徽,
6,7370214795678649634,,,,,,,,,,,,L1,7370326970632110885,就一个字“香”,玉雄柏林,4299509151315002,0,1,2024-05-18 21:12:55,西藏,
7,7370214795678649634,,,,,,,,,,,,L1,7371667392646890278,[大笑][大笑][大笑][玫瑰][玫瑰][玫瑰][鼓掌],李新龙,2383383540010035,0,0,2024-05-22 11:54:28,广西,
8,7370214795678649634,,,,,,,,,,,,L1,7370334286886683426,我的了。,脑像。,204939191919267,0,0,2024-05-18 21:41:19,吉林,
9,7370214795678649634,,,,,,,,,,,,L1,7372964275999425316,[赞][赞][赞],诺澜,1530159155909453,0,0,2024-05-25 23:47:07,湖北,
10,7370214795678649634,,,,,,,,,,,,L1,7374541227097031439,[666][666][666],菊花,852836528953096,0,0,2024-05-30 05:46:37,甘肃,
11,7370214795678649634,,,,,,,,,,,,L1,7370523879104561983,人民网心系人民[捂脸][捂脸][捂脸][一起加油][一起加油][一起加油],红苕花,104204748384,0,0,2024-05-19 09:57:03,四川,
12,7370214795678649634,,,,,,,,,,,,L1,7374143356961964863,[赞][赞][赞][一起加油][一起加油][一起加油][爱心][爱心][爱心],江运芳,2867168593587583,0,0,2024-05-29 04:02:57,江西,
13,7370214795678649634,,,,,,,,,,,,L1,7372059108318905099,[赞][赞][赞],大珍吖（中午12点40分）首播,703307988613647,0,0,2024-05-23 13:14:32,浙江,
14,7370214795678649634,,,,,,,,,,,,L1,7381208023660069658,[666][666][666],静静的聆听,110017042848,0,0,2024-06-17 04:57:09,河南,
15,7370214795678649634,,,,,,,,,,,,L1,7370216839970833202,80后再也回不去的农村[不看][不看][不看],小吴总来啦,96266624376,1,3,2024-05-18 14:05:36,江西,
16,7370214795678649634,,,,,,,,,,,,L1,7371690124181177097,[玫瑰][玫瑰][玫瑰],李国瑜,3729169781633992,0,0,2024-05-22 13:22:42,云南,
17,7370214795678649634,,,,,,,,,,,,L1,7370244806268404480,西峡香菇，猕猴桃，山茱萸,珍妮,95859107179,1,0,2024-05-18 15:54:07,河南,
18,7370214795678649634,,,,,,,,,,,,L1,7370235014128927524,我挺想回家种菜的，自己吃，还健康，就是水不方便！[流泪],🌨️🌨️Dear 朝颜🍒🍒,102196260935,1,0,2024-05-18 15:16:06,广东,
19,7370214795678649634,,,,,,,,,,,,L1,7370237645068452642,民以食为天，振兴乡村建设。,用户6502491739451,442462690088423,0,0,2024-05-18 15:26:19,河南,
20,7370214795678649634,,,,,,,,,,,,L1,7371690117365056306,[捂脸][捂脸][捂脸],李国瑜,3729169781633992,0,0,2024-05-22 13:22:40,云南,
21,7370214795678649634,,,,,,,,,,,,L1,7371854789837685545,为什么养猪污染环境，不让养[泪奔],66,2097522314845124,0,0,2024-05-23 00:01:42,西藏,
22,7370214795678649634,,,,,,,,,,,,L1,7375431730671944485,行   记。,李全德,3397938726306828,0,0,2024-06-01 15:22:04,甘肃,
23,7370214795678649634,,,,,,,,,,,,L1,7372353374204117814,第一,笑笑,87962680422,0,0,2024-05-24 08:16:32,河北,
24,7370214795678649634,,,,,,,,,,,,L1,7370267330536080147,山西沁州黄小米[比心],静侯佳音8677,1592522028353463,1,0,2024-05-18 17:21:32,山西,
25,7370214795678649634,,,,,,,,,,,,L1,7370236901834851087,湘西里耶比耳脐橙,龙山靖域家居小王,65902249902,0,0,2024-05-18 15:23:29,湖南,
26,7370214795678649634,,,,,,,,,,,,L1,7371466464375653129,江苏，赣榆蓝莓正是成熟的高峰期,铁墩墩,61559325197,0,0,2024-05-21 22:54:47,江苏,
27,7370214795678649634,,,,,,,,,,,,L1,7370218891353719587,湖南米粉[666],绘心绘意,2225032129943037,2,0,2024-05-18 14:13:32,广东,
28,7370214795678649634,,,,,,,,,,,,L1,7370224599562748710,庐山云雾茶，九江酒糟鱼，鄱阳湖和赛城湖大闸蟹，茶饼[666][666],ℋ東鍋鍋的暖楊楊ིྀྃྃ࿐,98316990060,4,0,2024-05-18 14:35:41,福建,
29,7370214795678649634,,,,,,,,,,,,L1,7370219273480291107,助农助农，助助栖霞苹果吧,刺猬,94927208236,2,0,2024-05-18 14:15:03,山东,
30,7370214795678649634,,,,,,,,,,,,L1,7370221043553059596,安徽茶叶不是吹出来的,一安,3914734501637672,3,0,2024-05-18 14:21:57,安徽,
31,7370214795678649634,,,,,,,,,,,,L1,7371690111417320218,[666][666][666],李国瑜,3729169781633992,0,0,2024-05-22 13:22:37,云南,
32,7370214795678649634,,,,,,,,,,,,L1,7370219280614359843,好好好，不愧是00后[捂脸][捂脸][捂脸],月卿竹,63428744711,1,0,2024-05-18 14:15:03,浙江,
