序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7375336861302033698,6座大型水电站，跨越1800多公里…数说世界最大清洁能源走廊👍 #绘说现代化,https://www.douyin.com/video/7375336861302033698,1717214400,89,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,31344,4153,5444,1541046,9407,video,,,,,,,,,
2,7375336861302033698,,,,,,,,,,,,L1,7375528498762990386,长江得水不白流，一滴水都得给我干6次活[看],崔,84544492526,19,0,2024-06-01 21:37:31,陕西,
3,7375336861302033698,,,,,,,,,,,,L1,7375696335184724751,母亲河奉献发展新力量,風行水上,3008710702808008,40,0,2024-06-02 08:28:53,湖北,
4,7375336861302033698,,,,,,,,,,,,L1,7375518439262569266,自然资源的合理利用，有效减少化石能源的开发利用，同的还能大大减少环境污染[比心][比心][比心][比心][比心][比心][比心],东东老师,4503189950046957,475,1,2024-06-01 20:58:29,广东,
5,7375336861302033698,,,,,,,,,,,,L1,7375522095511765801,能不能拍一下六座大坝的回鱼系统，[抱拳]把生态做好也是重点之重。,祝主页购物的朋友2026发大财。,99802096311,539,3,2024-06-01 21:12:39,四川,
6,7375336861302033698,,,,,,,,,,,,L1,7375530663620150066,[捂脸]这么多水电站，电费能减少了吗？一年电费也不少钱呢。,老伍（好物推荐）,2620825630686110,160,3,2024-06-01 21:45:56,江苏,
7,7375336861302033698,,,,,,,,,,,,L1,7375730745476547367,现在没有电什么都办不成,汉娜贝克,2458158448519207,11,0,2024-06-02 10:42:23,河南,
8,7375336861302033698,,,,,,,,,,,,L1,7375517128944288521,厉害了[赞][赞][赞]  千年一遇的洪水应该也不怕了[赞][赞][赞],淘气包嘟嘟,1981768409553668,17,0,2024-06-01 20:53:23,湖南,
9,7375336861302033698,,,,,,,,,,,,L1,7375523686080660276,我国强一个又一个的奇迹[赞][赞][赞],优货木子,2590872561519120,18,0,2024-06-01 21:18:50,陕西,
10,7375336861302033698,,,,,,,,,,,,L1,7375701179298595594,希望降价，利民惠民,平安最佳,1736867065373523,19,0,2024-06-02 08:47:37,江苏,
11,7375336861302033698,,,,,,,,,,,,L1,7375708508447425306,有效减少化石能源的开发利用，还能减少环境污染,🌈财源滚滚好运连连身体健康万事如意💰,11031896537,10,0,2024-06-02 09:16:06,福建,
