序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7386225241367924003,“桂”在开放！66秒看广西如何向新而行🔥 #绘说现代化,https://www.douyin.com/video/7386225241367924003,1719739589,66,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,29431,460,454,440935,157,video,,,,,,,,,
2,7386225241367924003,,,,,,,,,,,,L1,7386313203989824271,广西山美水美美女多，战友兄弟情深[一起加油],一笑倾城，只为你醉,1038372559126871,7,0,2024-06-30 23:07:43,陕西,
3,7386225241367924003,,,,,,,,,,,,L1,7386300903952892707,广西！我的故乡，多希望有一天在家门口打螺丝,二少爷,106649383985,41,10,2024-06-30 22:19:56,广东,
4,7386225241367924003,,,,,,,,,,,,L1,7397637911636017956,这个是真的人民网吗？有点不敢信，我们的妈妈居然在播宣传广西的短视频,种自己的花,4231389993504830,3,0,2024-07-31 11:33:20,广西,
5,7386225241367924003,,,,,,,,,,,,L1,7386281028234019625,终于刷到单条播报广西了[耶],五公子,2229445776639827,16,0,2024-06-30 21:02:50,广东,
6,7386225241367924003,,,,,,,,,,,,L1,7386305394392384282,广西的人很热情真的，去年去玩，重新认识了广西。赞,财富暴【曾】大小姐,62272331190,19,0,2024-06-30 22:37:23,湖南,
7,7386225241367924003,,,,,,,,,,,,L1,7386303721259451175,@暴富（正常版） 桂桂那么强😍,普什么,2428142972046119,2,1,2024-06-30 22:30:54,广西,
8,7386225241367924003,,,,,,,,,,,,L1,7387237333090108197,广西的山广西的水，广西的发展真是美，[赞][赞],唐唐,96329164629,3,0,2024-07-03 10:53:49,广西,
9,7386225241367924003,,,,,,,,,,,,L1,7386297927662732047,啊桂你终于出息了！！！,没关系都是砍王啊,94409588653,4,0,2024-06-30 22:08:25,广东,
10,7386225241367924003,,,,,,,,,,,,L1,7386287430012322596,天下风景，美在广西，，风情万种，随你心动……,夜 无 影,2542539466874351,7,0,2024-06-30 21:27:40,江苏,
11,7386225241367924003,,,,,,,,,,,,L1,7388800503083303737,感谢宣传我们广西[害羞][害羞],覃小2,3139847919775357,1,0,2024-07-07 16:06:05,广东,
12,7386225241367924003,,,,,,,,,,,,L1,7393507345945084724,早上好，[赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][爱心][爱心][爱心][爱心][爱心],飘柔柔,295111681649198,0,0,2024-07-20 08:24:41,广东,
13,7386225241367924003,,,,,,,,,,,,L1,7387963285817574196,真的，每个地方都发展的好,阳阳好物,1820439205131607,0,0,2024-07-05 09:50:52,河北,
14,7386225241367924003,,,,,,,,,,,,L1,7386430134477800219,广西壮族自治区。壮语咱是一句都听不懂啊[微笑][微笑][微笑]，,李双鱼🇨🇳🇨🇳,102407080509,13,4,2024-07-01 06:41:30,北京,
15,7386225241367924003,,,,,,,,,,,,L1,7386289046681305856,平陆运河修好,苟仁,106100379876,3,0,2024-06-30 21:33:57,重庆,
16,7386225241367924003,,,,,,,,,,,,L1,7386286264986059555,是啊，别省份都在发展时候，我们广西还在抗战，现在慢慢好起来，一步一个脚印，加油！,耿浩,100869763403,17,0,2024-06-30 21:23:09,广东,
17,7386225241367924003,,,,,,,,,,,,L1,7386810848457786163,老表，加油[赞],任我翱翔,97939570611,1,0,2024-07-02 07:18:53,广东,
18,7386225241367924003,,,,,,,,,,,,L1,7386827353945965352,终于看到央视宣传广西了，很少看到，感谢,西红柿🍅🍅🍅,105975795454,6,0,2024-07-02 08:22:56,广东,
