序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7398734116654468367,暑期旅游，“热”力十足；新型消费，不断拓展！80秒看活力中国潜力十足🔥#绘说现代化,https://www.douyin.com/video/7398734116654468367,1722652040,82,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,9139,965,940,715977,1780,video,,,,,,,,,
2,7398734116654468367,,,,,,,,,,,,L1,7520741586154554169,喜欢看这盛世中华，人民安居乐业的壮观景色！[比心][比心][比心],秋天的枫叶🍁,106764228186,1,0,2025-06-28 05:18:31,河北,
3,7398734116654468367,,,,,,,,,,,,L1,7398798580598965018,有那么一个贵妇人，电话打到了我的前线指挥所,拾弋,94960043887,297,4,2024-08-03 14:37:19,甘肃,
4,7398734116654468367,,,,,,,,,,,,L1,7398831849055175424,这个热榜是花钱买的吧！[捂脸][捂脸][捂脸][捂脸],油灯,2507360610295582,15,1,2024-08-03 16:46:27,江苏,
5,7398734116654468367,,,,,,,,,,,,L1,7398833837407093542,希望中国人越来越好人民生活不段提高,紫雨竹,2840742263271311,14,0,2024-08-03 16:54:09,黑龙江,
6,7398734116654468367,,,,,,,,,,,,L1,7398820830216700712,怎么感觉今年挣钱最难呢，房子也不值钱，啥钱都不好挣，车这么便宜都卖不动,漫步人生路,536185258902455,12,0,2024-08-03 16:03:44,江苏,
7,7398734116654468367,,,,,,,,,,,,L1,7398838895557428031,愿祖国繁荣富强，越来越好！[赞][赞][赞],土豆不吐皮.,2078513366831907,9,0,2024-08-03 17:13:48,河南,
8,7398734116654468367,,,,,,,,,,,,L1,7398735284252197683,体操团队赛视频呢？,吃糖饼烫后脑勺💪,97000681210,16,2,2024-08-03 10:31:41,内蒙古,
9,7398734116654468367,,,,,,,,,,,,L1,7398838058424533775,希望祖国经济发展越来越好，人们生活水平不断提升,兰花姐姐,111252746070,6,0,2024-08-03 17:10:33,广东,
10,7398734116654468367,,,,,,,,,,,,L1,7398838578795496192,这盛世中华！人民安居乐业！经济引领世界！感谢强大的祖国[抱拳],生命不息,111173785159,13,0,2024-08-03 17:12:34,江苏,
11,7398734116654468367,,,,,,,,,,,,L1,7398748086125249316,太棒了，发展壮大，活力满满的[比心][比心][比心][比心][赞][赞][赞][赞][赞],💞Iiu英,106871366277,50,2,2024-08-03 11:21:24,北京,
12,7398734116654468367,,,,,,,,,,,,L1,7398818529207943986,请问，实体经济走势,天兰天鞋服城(勒马店)官方号,111407167365,73,2,2024-08-03 15:54:44,河南,
13,7398734116654468367,,,,,,,,,,,,L1,7398836465092133651,希望中国越来越好！老百姓的生活也越来越好！[赞][赞][感谢][感谢],我就是我,102288245971,6,0,2024-08-03 17:04:21,安徽,
14,7398734116654468367,,,,,,,,,,,,L1,7398834658362098471,国家越来越强大，百姓的生活越来越好[赞],平常人,2938315977287199,7,0,2024-08-03 16:57:20,浙江,
15,7398734116654468367,,,,,,,,,,,,L1,7398837160952906507,喜欢看这盛世中华，人民安居乐业的壮观景色！[玫瑰][玫瑰][玫瑰],阳光微暖,99131086687,10,0,2024-08-03 17:07:03,安徽,
16,7398734116654468367,,,,,,,,,,,,L1,7398836425821160201,点赞[赞],聂小倩,1091193296401789,7,0,2024-08-03 17:04:11,山东,
17,7398734116654468367,,,,,,,,,,,,L1,7398822578956043020,中国现在也是强国了，发展的太好了，相信不久的将来中国一定是世界第一。[赞][赞][赞],妞妞,1042791353030603,25,0,2024-08-03 16:10:29,山西,
18,7398734116654468367,,,,,,,,,,,,L1,7398835558891897600,为人民网点赞[赞][赞][赞],芦苇丛深处,100905156801,10,0,2024-08-03 17:00:50,河南,
19,7398734116654468367,,,,,,,,,,,,L1,7398825372308390671,越来越好，有希望了，伟大[赞][赞][赞],油叔超级辣,96924418604,19,0,2024-08-03 16:21:19,山东,
20,7398734116654468367,,,,,,,,,,,,L1,7398828429073826612,祝福我们的明天越来越好,长弓,13067844263,10,0,2024-08-03 16:33:08,北京,
21,7398734116654468367,,,,,,,,,,,,L1,7398838600010138431,给力[赞][赞][赞]国家正能量[赞][赞][赞],蓝筱天,93492264841,5,0,2024-08-03 17:12:39,江西,
22,7398734116654468367,,,,,,,,,,,,L1,7398824202633282340,看了这个视频感觉我就是全中国过得最艰难的那一个: 怎么感觉今年挣钱最难呢，房子也不值钱，啥钱都不好挣，车这么便宜都卖不动,醉梦中的红颜,1138746350121336,146,3,2024-08-03 16:16:45,湖北,
23,7398734116654468367,,,,,,,,,,,,L1,7398816743734887168,人民生活水平明显提高了,红心白萝卜,101710220546,9,0,2024-08-03 15:47:49,广西,
24,7398734116654468367,,,,,,,,,,,,L1,7398826725637342010,为什么我天天上班还是没有钱花？,会拼才能赢,108176122419,15,0,2024-08-03 16:26:57,宁夏,
25,7398734116654468367,,,,,,,,,,,,L1,7398821425178247986,愿祖国繁荣富强，越来越好！[赞][赞][赞],用户1288897884662,101914860480,13,0,2024-08-03 16:06:00,上海,
26,7398734116654468367,,,,,,,,,,,,L1,7398830719337136922,人们的生活水平越来越高了，中国也越来越强大了[赞][赞],涓涓,104018942243,8,0,2024-08-03 16:42:04,辽宁,
27,7398734116654468367,,,,,,,,,,,,L1,7398825585038181135,太厉害了，太棒了，骄傲,寒烟兰烬休,93450643771,10,0,2024-08-03 16:22:08,重庆,
28,7398734116654468367,,,,,,,,,,,,L1,7398826770261082939,中国加油,一剑飘雪,2348150258669870,10,0,2024-08-03 16:27:08,四川,
29,7398734116654468367,,,,,,,,,,,,L1,7398830268558230324,太棒了！祝福祖国越来越强大！人民安居乐业！经济引领世界[赞][赞][赞],如初～燕,3400103837310843,18,0,2024-08-03 16:40:20,广西,
30,7398734116654468367,,,,,,,,,,,,L1,7398787003809350438,请站对你自身的立场，你不是走狗,江右。JL,108755004541,8,0,2024-08-03 13:52:26,江西,
31,7398734116654468367,,,,,,,,,,,,L1,7398823043353903926,愿祖国繁荣富强，越来越好！[赞][赞][赞],这条街,1961177667347486,9,0,2024-08-03 16:12:17,陕西,
32,7398734116654468367,,,,,,,,,,,,L1,7398741314501133083,体操团队赛视频呢,ꕥ᭄招财[年兽,98280069056,11,0,2024-08-03 10:55:10,广东,
33,7398734116654468367,,,,,,,,,,,,L1,7398832455782712099,愿祖国繁荣昌盛，生活水平越来越好[赞][赞][赞][赞][赞],用户3859017361946,844864699509848,7,0,2024-08-03 16:48:48,山西,
34,7398734116654468367,,,,,,,,,,,,L1,7398821179681456934,人们的生活水平越来越高了，中国也越来越强大了,美娟@,91671249197,7,0,2024-08-03 16:05:03,天津,
35,7398734116654468367,,,,,,,,,,,,L1,7398815976819671842,喜欢看这盛世中华，人民安居乐业！,胡少鹰,97904403019,14,0,2024-08-03 15:44:52,辽宁,
36,7398734116654468367,,,,,,,,,,,,L1,7398819072006538047,加油我的祖国！！,168哓华,395446223647997,7,0,2024-08-03 15:56:52,广西,
37,7398734116654468367,,,,,,,,,,,,L1,7398821356459459387,现在老百姓都很幸福[赞][赞][赞][赞],碧波,98868217329,8,0,2024-08-03 16:06:17,甘肃,
38,7398734116654468367,,,,,,,,,,,,L1,7398827401042952996,中国越来越好！[感谢][感谢][感谢][感谢][感谢][感谢],表里如一三多,233553946224840,8,0,2024-08-03 16:29:12,四川,
39,7398734116654468367,,,,,,,,,,,,L1,7398819221511373578,只要不买房，其他的都能到手[捂脸],金牌,4287696062396796,8,0,2024-08-03 15:57:25,湖北,
40,7398734116654468367,,,,,,,,,,,,L1,7398840206571389754,看得见的活力！！！,一线天,2221467510772908,2,0,2024-08-03 17:19:18,江西,
41,7398734116654468367,,,,,,,,,,,,L1,7398840283121926964,盛世中国,CIP合创兴跨境电商@深圳,82474606100,3,0,2024-08-03 17:19:11,广东,
42,7398734116654468367,,,,,,,,,,,,L1,7398840217162138394,马路两旁都被车占满了，很不安全,玥来玥好,111074696938,2,0,2024-08-03 17:18:55,天津,
43,7398734116654468367,,,,,,,,,,,,L1,7398840092389376768,我拖大家后脚嘹[捂脸],Heyman,2239074224323423,2,0,2024-08-03 17:18:26,福建,
44,7398734116654468367,,,,,,,,,,,,L1,7398839668969865993,为中国[赞][赞][赞][赞][赞][赞][赞][赞],和和美美,2669202890565548,3,0,2024-08-03 17:16:46,江苏,
45,7398734116654468367,,,,,,,,,,,,L1,7398839654492013321,国家伟大人民开心就好,袁笙栗,111446682352,2,0,2024-08-03 17:16:43,吉林,
46,7398734116654468367,,,,,,,,,,,,L1,7398839127238804235,人民安居乐业,用尽晴天,1173871981239923,3,0,2024-08-03 17:14:43,江西,
47,7398734116654468367,,,,,,,,,,,,L1,7398838358766158618,活力中国，潜力十足。,黄四娘,1411393214232318,2,0,2024-08-03 17:11:42,广东,
48,7398734116654468367,,,,,,,,,,,,L1,7398838324582122251,中国潜力毋庸置疑[赞],张小欠🍀,100436694598,2,0,2024-08-03 17:11:33,陕西,
49,7398734116654468367,,,,,,,,,,,,L1,7398838256811492096,失业了，拿什么消费,石穿,107761763930,3,0,2024-08-03 17:11:20,重庆,
50,7398734116654468367,,,,,,,,,,,,L1,7398837971732366095,你是什么人民网,奔跑雪人,4372072546974766,3,0,2024-08-03 17:10:11,重庆,
51,7398734116654468367,,,,,,,,,,,,L1,7398837905093051163,线上线下都能挣钱,木枝,698916795581452,3,0,2024-08-03 17:09:55,四川,
52,7398734116654468367,,,,,,,,,,,,L1,7398832377014027043,人们的生活水平越来越高了，中国也越来越强大了,布偶猫,109600347780,6,0,2024-08-03 16:48:31,安徽,
53,7398734116654468367,,,,,,,,,,,,L1,7398830346982900506,人民生活水平明显提高,🌈好运来✨,94337802567,5,0,2024-08-03 16:40:36,四川,
54,7398734116654468367,,,,,,,,,,,,L1,7398832518039274294,祝福伟大祖国繁荣昌盛，人民幸福[赞][赞][赞],淡定,668124946106279,3,0,2024-08-03 16:49:03,江苏,
55,7398734116654468367,,,,,,,,,,,,L1,7398833760563987219,太给力了！看：这盛世中华！人民安居乐业！经济引领世界！[赞][赞][赞],用夕阳红,118393518693992,6,0,2024-08-03 16:53:54,四川,
56,7398734116654468367,,,,,,,,,,,,L1,7398830647429694246,中国越来越好[赞],爱的合轩灵,3813542425271854,5,0,2024-08-03 16:41:47,广东,
57,7398734116654468367,,,,,,,,,,,,L1,7398833177151832868,喜欢看这盛世中华，人民安居乐业的壮观景色！[玫瑰][玫瑰][玫瑰],燚燚,2995504124526696,11,0,2024-08-03 16:51:34,广西,
58,7398734116654468367,,,,,,,,,,,,L1,7398830465983873830,太棒了，发展壮大，活力满满的[比心][比心][比心],123321,98153294704,7,0,2024-08-03 16:41:04,河北,
59,7398734116654468367,,,,,,,,,,,,L1,7398838022307218176,祖国繁荣富强，越来越好！[赞][赞][赞],🌹海阔天空,68283921156,5,0,2024-08-03 17:10:23,山西,
60,7398734116654468367,,,,,,,,,,,,L1,7398833226645766938,喜欢看这盛世中华，人民安居乐业！,海尔,3789360808331834,5,0,2024-08-03 16:51:48,福建,
61,7398734116654468367,,,,,,,,,,,,L1,7398827490373108530,好[赞][赞][赞],祥平,2321821411840040,4,0,2024-08-03 16:29:33,江苏,
62,7398734116654468367,,,,,,,,,,,,L1,7398828916042105600,人民的生活水平越来越高了，中国也越来越强大了！[赞][赞][赞],zhou濤聖,1797058392758296,10,0,2024-08-03 16:35:04,安徽,
63,7398734116654468367,,,,,,,,,,,,L1,7398830331803550500,喜欢看这盛世中华，人民安居乐业的壮观景色！[玫瑰][玫瑰][玫瑰][赞][赞][赞],@啵啵哥,3095838011173581,13,0,2024-08-03 16:40:33,河南,
64,7398734116654468367,,,,,,,,,,,,L1,7398840606514430756,@盛世中华[赞][赞][赞],秋梅,963638440241515,4,0,2024-08-03 17:20:24,新疆,
65,7398734116654468367,,,,,,,,,,,,L1,7398840692925252388,祖国的强大，人民幸福安康[赞][赞][赞][赞][赞][赞][赞][赞][赞],快乐每一天！！,2714040174391507,6,0,2024-08-03 17:20:45,黑龙江,
66,7398734116654468367,,,,,,,,,,,,L1,7398838432841794340,厉害了我的国[赞][赞][赞][赞],青山,461429972680052,3,0,2024-08-03 17:11:59,北京,
67,7398734116654468367,,,,,,,,,,,,L1,7398834305924432679,祝中国越来越好[赞],陈春花,96823433144,4,0,2024-08-03 16:55:56,广东,
68,7398734116654468367,,,,,,,,,,,,L1,7398834863787295539,为了这视频，必须喝一斤白酒还不就花生米[赞][赞][赞],燕燕好物,76550142002,7,0,2024-08-03 16:58:09,湖南,
69,7398734116654468367,,,,,,,,,,,,L1,7398815979285644082,喜欢看这盛世中华，人民安居乐业！,胡少鹰,4441682441955629,32,0,2024-08-03 15:44:52,辽宁,
70,7398734116654468367,,,,,,,,,,,,L1,7398840330428515081,@祝福祖国繁荣昌盛,思凡,3592836824440552,3,0,2024-08-03 17:19:20,新疆,
71,7398734116654468367,,,,,,,,,,,,L1,7398840026064798479,中国加油,幸福是福,4230518432077335,2,0,2024-08-03 17:18:10,广东,
72,7398734116654468367,,,,,,,,,,,,L1,7398777173059879707,是不是邹勾啊，什么苏家的人民网对吧,@l,668095039677784,31,0,2024-08-03 13:14:14,江西,
73,7398734116654468367,,,,,,,,,,,,L1,7398766739586401076,孔孟之乡，齐鲁荣耀，懂？[动动脑子],🌟🌟🌟,1486171084166795,25,0,2024-08-03 12:33:47,上海,
74,7398734116654468367,,,,,,,,,,,,L1,7398824577947943731,@太棒了，@发展壮大，@活力药比莴[赞][赞][赞][赞][赞][赞],用户8187058628023,2563716507514269,8,0,2024-08-03 16:18:12,甘肃,
