序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7404279789185436940,跨境电商跑出加速度、海外仓步入发展快车道…90秒了解开放中国🔥 #绘说现代化,https://www.douyin.com/video/7404279789185436940,1723943250,97,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4628,239,244,277722,75,video,,,,,,,,,
2,7404279789185436940,,,,,,,,,,,,L1,7404308150944039714,能不能解决国外的仅退款[泣不成声],用户6547285436548,3522459724685700,10,1,2024-08-18 10:57:18,广东,
3,7404279789185436940,,,,,,,,,,,,L1,7404334850654356224,劳务派遣成为了剥削的代名词。什么时候中国可以取消[泣不成声],闲云野鹤,100249540663,7,1,2024-08-18 12:40:54,广东,
4,7404279789185436940,,,,,,,,,,,,L1,7404326343913767715,怎么做跨境电商？,阳阳好物,1820439205131607,5,0,2024-08-18 12:07:53,河北,
5,7404279789185436940,,,,,,,,,,,,L1,7404289782333653800,我们公司刚开通了中国制造网和海外仓，,沪东重工机械,102131891504,2,0,2024-08-18 09:46:01,安徽,
6,7404279789185436940,,,,,,,,,,,,L1,7404838551655613236,世界和平搞好团结，四面八方的朋友互相合作发展，一年比干一年好，对大家都有好处，我们中国是大团结国家，全国人民辛苦一点，好好发展，广人农民，全国人民都辛苦[爱心][爱心][爱心][爱心],詹观芹,2867957458797683,0,0,2024-08-19 21:15:30,四川,
7,7404279789185436940,,,,,,,,,,,,L1,7404282351242494759,希望我早日还掉600万债,王主任,25238167213,20,4,2024-08-18 09:17:09,浙江,
8,7404279789185436940,,,,,,,,,,,,L1,7407681787318600488,怎么做,椰子💜,84396044280,1,0,2024-08-27 13:08:43,四川,
9,7404279789185436940,,,,,,,,,,,,L1,7404475969971733285,祝福伟大的祖国，生意越做越大，老百姓的生活，越来越好[赞][赞][赞][赞][赞][赞],智信仁勇严,4375675270596731,0,0,2024-08-18 21:48:30,湖南,
10,7404279789185436940,,,,,,,,,,,,L1,7407565380958487353,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-08-27 05:37:22,江西,
11,7404279789185436940,,,,,,,,,,,,L1,7404656801978106674,希望我早日还清放心借[捂脸],温暖如初🍓,52456359013,0,0,2024-08-19 09:30:16,浙江,
12,7404279789185436940,,,,,,,,,,,,L1,7405225858493268747,我感觉最难的属于我们底层农民[尬笑],糖果屋,95499476776,0,0,2024-08-20 22:18:27,安徽,
13,7404279789185436940,,,,,,,,,,,,L1,7405084470963733282,祝伟大祖国繁荣富强！,叮咚号,624960677091820,0,0,2024-08-20 13:09:49,山西,
14,7404279789185436940,,,,,,,,,,,,L1,7404409541498241833,祖国强大，人民的生活越来越好[福][福][福][福][福][福][福][福][福][福][福][福][福],🌊刘彪🎄健康🎄人参,1275899182589613,0,0,2024-08-18 17:30:43,湖南,
15,7404279789185436940,,,,,,,,,,,,L1,7404354675207766836,促供销推进发展创赢创汇[赞][赞][赞][鼓掌][鼓掌][鼓掌],用户3820598093746,3654429504179784,0,0,2024-08-18 13:57:48,广东,
16,7404279789185436940,,,,,,,,,,,,L1,7404714871903060751,，。xyxyxy,小太阳🏝,59397354686,0,0,2024-08-19 13:15:35,河南,
