序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7419859025086418203,绿色共享！80秒打开低碳中国🌳 #绘说现代化,https://www.douyin.com/video/7419859025086418203,1727570593,82,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3141,239,532,419816,27,video,,,,,,,,,
2,7419859025086418203,,,,,,,,,,,,L1,7419875438636499769,食品安全是否得到真正解决，自从食品添加剂的问题出现后，一夜之间之前的食品配料表都是0添加剂。,曾曾♍,65519759080,7,0,2024-09-29 09:46:27,海南,
3,7419859025086418203,,,,,,,,,,,,L1,7419860099617817363,美丽中国🇨🇳,张小丫,4388838223914984,2,0,2024-09-29 08:46:53,甘肃,
4,7419859025086418203,,,,,,,,,,,,L1,7419861449801728808,人与自然和谐共生的现代化[比心][比心][比心],了了了.,51688511318,3,0,2024-09-29 08:52:06,宁夏,
5,7419859025086418203,,,,,,,,,,,,L1,7421549450181083941,七天the..[比心]goodand[比心]if..you..love...it..,岳明伟,3962293347947736,0,0,2024-10-03 22:02:19,辽宁,
6,7419859025086418203,,,,,,,,,,,,L1,7419864482472887097,妈，给我一块钱,建全,86495201761,1,0,2024-09-29 09:03:56,陕西,
7,7419859025086418203,,,,,,,,,,,,L1,7419864830310155059,美丽的中国[比心],梅子（男装）,101907346827,2,0,2024-09-29 09:05:13,广东,
8,7419859025086418203,,,,,,,,,,,,L1,7419877234809504539,食品，医疗，教育[感谢][感谢],帕罗西汀,3571635028262399,0,0,2024-09-29 09:53:20,湖北,
9,7419859025086418203,,,,,,,,,,,,L1,7419865209999131392,大美中国，青山绿水繁荣富强科学发展引领风骚[鼓掌][鼓掌][鼓掌],69662185493,4055476884745976,1,0,2024-09-29 09:06:41,辽宁,
10,7419859025086418203,,,,,,,,,,,,L1,7419875089972495158,大美中国[赞][赞][赞][赞][赞],木枝,698916795581452,0,0,2024-09-29 09:45:03,四川,
11,7419859025086418203,,,,,,,,,,,,L1,7468459569329996594,＇ V.＂ minute I＇ll，：I,喜气杨杨,64679049211,0,0,2025-02-07 07:57:38,湖北,
12,7419859025086418203,,,,,,,,,,,,L1,7430467508065026866,绿色发展[比心][比心][比心],小雨优选,1959751114569322,0,0,2024-10-27 22:48:57,河南,
13,7419859025086418203,,,,,,,,,,,,L1,7419866138283541248,美丽中国[爱心][赞],嗯,3364149339881756,2,0,2024-09-29 09:10:19,重庆,
14,7419859025086418203,,,,,,,,,,,,L1,7419862418694472507,㊗️国庆快乐[玫瑰],清新~如水,11269431072,0,0,2024-09-29 08:55:54,江西,
15,7419859025086418203,,,,,,,,,,,,L1,7419874806453470010,加快中国低碳环保，绿色发展，美丽大家园！,小曾,1451003581572944,0,0,2024-09-29 09:43:57,湖北,
16,7419859025086418203,,,,,,,,,,,,L1,7422400845809369914,[赞][赞][赞][爱心][爱心][爱心][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-10-06 05:06:37,江西,
17,7419859025086418203,,,,,,,,,,,,L1,7420165070828962617,[赞][赞][赞][一起加油][一起加油][一起加油][圣诞帽][圣诞帽][圣诞帽],江运芳,2867168593587583,0,0,2024-09-30 04:30:42,江西,
18,7419859025086418203,,,,,,,,,,,,L1,7419862438667141929,食品安全必须放第一位,女神,75127549939,9,0,2024-09-29 08:55:55,广东,
19,7419859025086418203,,,,,,,,,,,,L1,7419863806782587685,环境空气有缓解，那么农民的福利是否有提高？食品外卖餐饮安全？,问鼎天下,2919913560479560,3,0,2024-09-29 09:01:15,福建,
20,7419859025086418203,,,,,,,,,,,,L1,7422011627522802491,[赞][赞][赞][抱抱你][抱抱你][圣诞帽][圣诞帽][圣诞帽][爱心],江运芳,2867168593587583,0,0,2024-10-05 03:56:34,江西,
21,7419859025086418203,,,,,,,,,,,,L1,7419861267420889890,前排,了了了.,51688511318,1,0,2024-09-29 08:51:23,宁夏,
22,7419859025086418203,,,,,,,,,,,,L1,7419860877526942473,第一,moxom,98918146014,1,0,2024-09-29 08:49:53,浙江,
23,7419859025086418203,,,,,,,,,,,,L1,7419860513671152425,1？,花恒电竞（三角洲行动）,3751987988142984,0,0,2024-09-29 08:48:29,福建,
24,7419859025086418203,,,,,,,,,,,,L1,7419860070818661135,我第一[玫瑰][玫瑰][玫瑰],乐亿♛余生做自己的光,67466496616,1,0,2024-09-29 08:46:42,江苏,
25,7419859025086418203,,,,,,,,,,,,L1,7507656604755051290,@忧郁世界的王,牧濑红莉栖,3171404428613767,0,0,2025-05-23 23:02:05,江苏,
26,7419859025086418203,,,,,,,,,,,,L1,7419861299029361408,食品安全有人解决吗？,峰峰不吃肉,66961679664,7,0,2024-09-29 08:51:31,辽宁,
27,7419859025086418203,,,,,,,,,,,,L1,7419942577301357331,那么多失踪学生封闭车辆。好好查查吧,英子,70975781182,0,0,2024-09-29 14:06:55,山西,
28,7419859025086418203,,,,,,,,,,,,L1,7423279584700908327,人的身命重要，还是动物重要？,用户9111284508251,163157695010216,0,0,2024-10-08 13:56:14,广东,
