序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7421919631377550607,75年砥砺奋进，75年换了人间！奋进中国，接力点赞👍 #绘说现代化 #有亿种骄傲叫我爱你中国,https://www.douyin.com/video/7421919631377550607,1728050338,138,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,8671,283,249,397414,125,video,,,,,,,,,
2,7421919631377550607,,,,,,,,,,,,L1,7421946608642261769,上车[比心] 75周年，寓意上7500点[坏笑],🎉寂静狩猎者,66614948445,23,2,2024-10-04 23:43:31,广东,
3,7421919631377550607,,,,,,,,,,,,L1,7421920771750429491,社会在进步，时代在发展，我就不知道该要怎么样才能赚到更多的钱,燕子真百货,59192452818,23,1,2024-10-04 22:03:13,四川,
4,7421919631377550607,,,,,,,,,,,,L1,7421930342049104698,75年前的新生中国于晨曦里奔跑，75年后的盛世华夏在世界中闪光，点赞我的国[赞]上天入地，沧海桑田，换了人间[赞][赞][赞][赞][赞][赞],用户11977987,1227484436900957,3,0,2024-10-04 22:40:23,黑龙江,
5,7421919631377550607,,,,,,,,,,,,L1,7421925272473584419,上车！,兔仔很忙,95550676073,8,3,2024-10-04 22:20:42,云南,
6,7421919631377550607,,,,,,,,,,,,L1,7421923082984784679,"山河无恙，烟火寻常，可是你如愿的眺望……
原祖国昌隆永盛[玫瑰][玫瑰][玫瑰]",润哥的老爸,96817585728,6,0,2024-10-04 22:12:13,山东,
7,7421919631377550607,,,,,,,,,,,,L1,7422081494590096180,网妈是上车吗！您叫上车我就全仓干了！但是没看到您发的那个上车新闻啊，发在哪里啊,向往神鹰～,85342120787,14,5,2024-10-05 08:26:59,广东,
8,7421919631377550607,,,,,,,,,,,,L1,7421979668415677219,上车,咸鱼       梦想家,55259934216,1,2,2024-10-05 01:52:10,陕西,
9,7421919631377550607,,,,,,,,,,,,L1,7421922851542090505,我为祖国的繁荣昌盛感到骄傲[赞][赞][赞],南笙一梦哇,71613442490,4,0,2024-10-04 22:11:17,安徽,
10,7421919631377550607,,,,,,,,,,,,L1,7421939927926014757,谁教我怎么挣钱,豫见你，是缘,62740663441,6,2,2024-10-04 23:17:37,浙江,
11,7421919631377550607,,,,,,,,,,,,L1,7422033919116509961,75年愿国泰民安[感谢][感谢][感谢],蒲公英的微笑💝,68492159877,1,0,2024-10-05 05:22:45,河南,
12,7421919631377550607,,,,,,,,,,,,L1,7421923935657329468,我爱你中国🇨🇳🇨🇳🇨🇳,蒙城五八房产,89924576429,5,0,2024-10-04 22:15:32,安徽,
13,7421919631377550607,,,,,,,,,,,,L1,7421920593413833506,第一[奸笑][奸笑][奸笑],小手冰凉。。。,1701697651478392,3,1,2024-10-04 22:02:34,江苏,
