序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7450691959372500287,背诗文免门票、一部剧带火一座城、悟空古建游出圈…旅游强国新潮涌动🔥#绘说现代化,https://www.douyin.com/video/7450691959372500287,1734749457,72,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2480,114,58,176224,63,video,,,,,,,,,
2,7450691959372500287,,,,,,,,,,,,L1,7450735812267868979,之前我还觉得滕王阁序很好背，谁知道是骈文不是诗词[发呆],ai入门,864658262329863,6,1,2024-12-21 13:40:18,广东,
3,7450691959372500287,,,,,,,,,,,,L1,7450697591765091082,希望冬至以后各位的顺境就来了[玫瑰],KeXin1229,3499068588562323,6,3,2024-12-21 11:12:02,福建,
4,7450691959372500287,,,,,,,,,,,,L1,7450703566081819450,冬至我们一般吃羊肉[捂脸]今天要不知道牺牲多少羊儿[捂脸],物体瞬间移动工程师,96374005786,1,1,2024-12-21 11:35:11,四川,
5,7450691959372500287,,,,,,,,,,,,L1,7450969607408993024,潮汕英歌舞呢？,H,62859391826,7,0,2024-12-22 04:48:12,广东,
6,7450691959372500287,,,,,,,,,,,,L1,7450745507310174976,大家冬至快乐，记得吃羊肉 ，汤圆， 我吃饺子[呲牙],鱼在水中,1670858541374781,1,0,2024-12-21 14:17:57,陕西,
7,7450691959372500287,,,,,,,,,,,,L1,7450701028872520463,之前有一个《滕王阁序》[比心][比心][比心],初见·花开,3249812230127464,0,0,2024-12-21 11:25:23,河南,
8,7450691959372500287,,,,,,,,,,,,L1,7450704404859601727,冬至快乐 记得吃饺子[玫瑰],爱🇨🇳🇨🇳🇨🇳,98249087629,1,0,2024-12-21 11:38:29,河南,
9,7450691959372500287,,,,,,,,,,,,L1,7450710560922141449,@[666][666][666][赞][赞][赞],黄，松，三，天下黄氏家族一家亲，拒绝私,103697380933,0,0,2024-12-21 12:02:21,广东,
10,7450691959372500287,,,,,,,,,,,,L1,7450692936701215528,第一[比心][比心][比心],暂无昵称ㅤ,53466801214,0,0,2024-12-21 10:54:04,上海,
11,7450691959372500287,,,,,,,,,,,,L1,7450692869079778106,第一耶,我煎你个荷包蛋,93428048087,0,0,2024-12-21 10:53:41,广东,
12,7450691959372500287,,,,,,,,,,,,L1,7450693187569910566,[赞][赞][赞]国泰民安！,西西姐,74196270618,0,0,2024-12-21 10:54:55,湖北,
13,7450691959372500287,,,,,,,,,,,,L1,7450695050856809267,都要吃饺子   不吃冻掉耳朵[大笑][大笑][大笑]   致敬先辈带来的平和幸福,大雨,58892599701,0,0,2024-12-21 11:02:09,河北,
14,7450691959372500287,,,,,,,,,,,,L1,7450931697031430946,一路长红,兰兰,4054597214937831,0,0,2024-12-22 02:20:37,江西,
15,7450691959372500287,,,,,,,,,,,,L1,7450707481611780921,[玫瑰][玫瑰][玫瑰],登峰造极,1306678637110974,0,0,2024-12-21 11:50:23,重庆,
16,7450691959372500287,,,,,,,,,,,,L1,7451386299673723699,旅游行业前景光明,东亮,108571327646,0,0,2024-12-23 07:44:35,湖南,
17,7450691959372500287,,,,,,,,,,,,L1,7450693224966832947,大家冬至快乐，记得吃🥟🥟🥟,全球流动烁,3940274272214173,2,0,2024-12-21 10:55:04,安徽,
18,7450691959372500287,,,,,,,,,,,,L1,7450702905910674186,㊗️大家冬至快乐，记得吃饺子🥟🥟🥟[比心],陈礼萍,83785590611,0,0,2024-12-21 11:32:37,湖北,
19,7450691959372500287,,,,,,,,,,,,L1,7450702433150124826,大家冬至快乐，记得吃羊肉！,丁丁猫,2224999767485511,2,1,2024-12-21 11:30:49,四川,
20,7450691959372500287,,,,,,,,,,,,L1,7450708047083242252,[赞][赞][赞][比心][比心][比心],开开🌷心心,2211853398185139,0,0,2024-12-21 11:52:35,贵州,
21,7450691959372500287,,,,,,,,,,,,L1,7451023372304122635,祖国山川，壮丽江河，大美中国，旅游业日益增加增强。[赞][赞][赞][赞],用户501792316181良朋,4133815107468520,0,0,2024-12-22 08:16:16,安徽,
22,7450691959372500287,,,,,,,,,,,,L1,7450699848553055017,尊重而不是诋毁[尬笑],云顶TT,71197560752,3,0,2024-12-21 11:20:46,广东,
23,7450691959372500287,,,,,,,,,,,,L1,7451877372218180409,普及一下，山东曲阜“三孔”景区，实行背论语免门票好多年了,春华秋实ⅱ,105163727084,0,0,2024-12-24 15:30:13,安徽,
24,7450691959372500287,,,,,,,,,,,,L1,7450738391735714618,[赞][赞][赞][赞][赞][赞][玫瑰][玫瑰][玫瑰],阳阳的宝藏,96492448231,0,0,2024-12-21 13:50:19,北京,
25,7450691959372500287,,,,,,,,,,,,L1,7450816259304194852,@[赞][赞][赞],龙萍,1011153054733933,0,0,2024-12-21 18:52:28,广西,
26,7450691959372500287,,,,,,,,,,,,L1,7450703976976565052,[比心][比心][比心][赞][赞][赞],慈悲心ᥫ᭡⁵²⁵⁹💫,2686858609033880,0,0,2024-12-21 11:36:47,山西,
27,7450691959372500287,,,,,,,,,,,,L1,7450697778874155814,祝大家冬至快乐，记得吃饺子🥟🥟🥟[比心],一丝清风,4143433616465294,0,0,2024-12-21 11:12:46,广东,
28,7450691959372500287,,,,,,,,,,,,L1,7451080364636095291,[平安果][平安果][平安果],苏公子@🌻,2260245360158432,0,0,2024-12-22 11:57:21,山东,
29,7450691959372500287,,,,,,,,,,,,L1,7451486678840492852,@[赞][比心][比心][比心],顺其自然.,1005425784535267,0,0,2024-12-23 14:14:08,河北,
30,7450691959372500287,,,,,,,,,,,,L1,7450731642715030330,[赞][赞][赞][赞][赞],一💕一意,67397955509,0,0,2024-12-21 13:24:08,广东,
31,7450691959372500287,,,,,,,,,,,,L1,7450694084694606602,[比心][比心][比心][比心][比心][比心],起风了🐼🐼🐼,50929451703,0,0,2024-12-21 10:58:28,四川,
32,7450691959372500287,,,,,,,,,,,,L1,7451203198264689420,[爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],用户2340554879679,1324225311016333,1,0,2024-12-22 19:54:01,浙江,
33,7450691959372500287,,,,,,,,,,,,L1,7451094266535641916,/,刘文彩,2313789319167220,0,0,2024-12-22 12:51:18,贵州,
34,7450691959372500287,,,,,,,,,,,,L1,7450743934526243636,[赞][赞][赞],天津掌起物流有限公司,102082086284,0,0,2024-12-21 14:11:54,天津,
35,7450691959372500287,,,,,,,,,,,,L1,7450692553597518592,[赞][赞][赞],相对论,4286342259031275,0,0,2024-12-21 10:52:35,浙江,
36,7450691959372500287,,,,,,,,,,,,L1,7450718672774120250,[赞][赞][赞],国风少年,93927170388,0,0,2024-12-21 12:33:49,河北,
37,7450691959372500287,,,,,,,,,,,,L2,7451011940116185907,不难背啊[暗中观察],XIUM,85140985564,0,0,2024-12-22 07:31:54,陕西,
38,7450691959372500287,,,,,,,,,,,,L2,7450780952446223161,，,Liu-MY,103871293825,0,0,2024-12-21 16:35:30,山东,
39,7450691959372500287,,,,,,,,,,,,L2,7450780934474056506,……，,Liu-MY,103871293825,0,0,2024-12-21 16:35:27,山东,
40,7450691959372500287,,,,,,,,,,,,L2,7450737836130059067,[感谢],陳浩南,1029619934045111,0,0,2024-12-21 13:48:11,安徽,
41,7450691959372500287,,,,,,,,,,,,L1,7450735596819972902,[赞],一生平安,103032534261,0,0,2024-12-21 13:39:30,广西,
