序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7469214648441556278,尔滨正式进入“亚冬时间”， 听易烊千玺、单依纯演唱的《尔滨的雪》，感受龙江冰雪热辣滚烫！#绘说现代化,https://www.douyin.com/video/7469214648441556278,1739062091,55,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4056,133,101,213920,118,video,,,,,,,,,
2,7469214648441556278,,,,,,,,,,,,L1,7469249690866631460,根正苗红正能量艺人易烊千玺[赞][赞][赞],舒适圈,2752787588060040,110,1,2025-02-09 11:03:41,广东,
3,7469214648441556278,,,,,,,,,,,,L1,7469215834763084601,尔滨接住，希望我大东北越来越好,莹贝贝,67513593631,7,1,2025-02-09 08:52:15,福建,
4,7469214648441556278,,,,,,,,,,,,L1,7469355099670201147,单依纯声音好好听[比心][比心]为亚冬会加油,补丁大师,2251431878343679,22,0,2025-02-09 17:52:40,湖北,
5,7469214648441556278,,,,,,,,,,,,L1,7469343000880317243,听了好多遍，易烊千玺声线温柔有力量[爱心],通惠河北路,14771894923,35,0,2025-02-09 17:05:42,陕西,
6,7469214648441556278,,,,,,,,,,,,L1,7469368823385506618,千玺弟弟的嗓音好温柔，让我瞬间感受到了“尔滨”的包容[抱抱你][抱抱你][抱抱你][抱抱你],易生欢玺的烊烊（烊肉哥哥赚💰给我开二巡,4437280302047508,37,0,2025-02-09 18:45:53,云南,
7,7469214648441556278,,,,,,,,,,,,L1,7469397716931461925,易烊千玺唱歌真好听啊[玫瑰][玫瑰],内向的精神病🤪,2516096450050207,33,0,2025-02-09 20:38:02,青海,
8,7469214648441556278,,,,,,,,,,,,L1,7469382358866608931,单依纯声音好听鼠了[比心][比心],《《飞🔥流星,98537744778,13,0,2025-02-09 19:38:28,贵州,
9,7469214648441556278,,,,,,,,,,,,L1,7469290845285630777,正式音源什么时候上线啊？,牛杂,4086250923637453,2,2,2025-02-09 13:43:19,广东,
10,7469214648441556278,,,,,,,,,,,,L1,7469224194838053669,尔滨是中国哪个城市[看],꧁༺曾经遐想༻꧂,3724761323550259,6,1,2025-02-09 09:24:46,河南,
11,7469214648441556278,,,,,,,,,,,,L1,7469255923040469769,千玺唱的真好听，运动员加油[赞],你算哪块小饼干,66744150861,39,0,2025-02-09 11:27:51,天津,
12,7469214648441556278,,,,,,,,,,,,L1,7469254613117518630,易烊千玺[鼓掌],Cheese莓莓,98662738349,22,0,2025-02-09 11:22:46,广西,
13,7469214648441556278,,,,,,,,,,,,L1,7469219372902777657,"哈尔滨的冰流就是顶流，[赞][赞][赞]
希望我们哈尔滨越来越好，希望来哈尔滨的人也越来越好，哈尔滨欢迎全国的小土豆[送心][送心][送心][送心][送心][送心][送心]",二手小铺,2977105067648440,4,0,2025-02-09 09:06:01,黑龙江,
14,7469214648441556278,,,,,,,,,,,,L1,7469397340345893683,因为依纯的这首歌特地去了一直不感冒的尔滨[比心],仓仓,668101750294511,20,2,2025-02-09 20:36:35,广东,
15,7469214648441556278,,,,,,,,,,,,L1,7469360920986682175,千玺声音好温柔,迷魂小怪物,75120997802,10,0,2025-02-09 18:15:18,广东,
16,7469214648441556278,,,,,,,,,,,,L1,7469757105525130010,易烊千玺的声音好好听[色],千千如意,3971074515544653,8,0,2025-02-10 19:52:39,湖北,
17,7469214648441556278,,,,,,,,,,,,L1,7469256661204402955,易烊千玺唱的太好听了,千陌浅玺,78785455858359,13,0,2025-02-09 11:30:44,陕西,
18,7469214648441556278,,,,,,,,,,,,L1,7469339873981072187,千玺唱的好听[赞],苦根在吃毛豆,3897126250612567,10,0,2025-02-09 16:53:34,山东,
19,7469214648441556278,,,,,,,,,,,,L1,7469290857369273147,嗯，还没去过尔滨。一定要去一次,👑D,109564768766,3,0,2025-02-09 13:43:22,江西,
20,7469214648441556278,,,,,,,,,,,,L1,7469293280157827890,唉，没有辽宁,张禹,73374161474,0,0,2025-02-09 13:52:47,辽宁,
21,7469214648441556278,,,,,,,,,,,,L1,7469408496090415931,单依纯真会唱！[爱心][赞],龙FL,3426505474711343,9,0,2025-02-09 21:19:49,湖北,
22,7469214648441556278,,,,,,,,,,,,L1,7469270468455121704,单姐[送心][送心],蛋姐爱我,3324534412815944,7,0,2025-02-09 12:24:19,广东,
23,7469214648441556278,,,,,,,,,,,,L1,7471455694865990409,易烊千玺[比心],不待见🐟,2696468816987852,0,0,2025-02-15 09:44:05,河南,
24,7469214648441556278,,,,,,,,,,,,L1,7469274875611022119,禾木吃住行便宜一点也可以的[尬笑],"哦哟,R能得狠。",61903370261,1,0,2025-02-09 12:41:24,新疆,
25,7469214648441556278,,,,,,,,,,,,L1,7469398882357035803,千玺声音好好听！,两只鱿鱼圈,70510049257,6,0,2025-02-09 20:42:35,安徽,
26,7469214648441556278,,,,,,,,,,,,L1,7469310686489805602,漂亮亮亮哥在一起努力挣钱给孩子们一个完整版的视频看看你照片,欣欣汉堡(拒合拍私聊),77575952059,1,0,2025-02-09 15:00:21,山东,
27,7469214648441556278,,,,,,,,,,,,L2,7469415706486391603,易烊千玺好棒,此后天高任鸟飞,75189934357,3,0,2025-02-09 21:47:52,广东,
28,7469214648441556278,,,,,,,,,,,,L2,7469253049408602915,年前我们18人已经去过了，哈尔滨特别美，好玩好吃的也很多，夏天我们还要去[大笑],朵朵,3210219400990920,1,0,2025-02-09 11:16:40,广东,
29,7469214648441556278,,,,,,,,,,,,L1,7469273923620700955,单依纯[比心],ddzzp,55877203440,7,0,2025-02-09 12:37:40,重庆,
30,7469214648441556278,,,,,,,,,,,,L1,7469227784926987044,真美，好想去玩,筱丶笨淡,65065355910,1,0,2025-02-09 09:38:40,山西,
31,7469214648441556278,,,,,,,,,,,,L1,7469790456085005066,好温柔好好听呀,喜悦,63808643332,0,0,2025-02-10 22:02:05,山东,
32,7469214648441556278,,,,,,,,,,,,L1,7469335132614574900,建设美好家园，振兴东北，振兴中华。,老男孩,3262979603182791,1,0,2025-02-09 16:35:16,北京,
33,7469214648441556278,,,,,,,,,,,,L1,7469389907787236133,单依纯唱的好听好听好听,用户2968408284899,4418294057010927,8,0,2025-02-09 20:07:44,浙江,
34,7469214648441556278,,,,,,,,,,,,L1,7469258107077051174,[赞][赞][赞]尔滨,微笑,3510075566850093,0,0,2025-02-09 11:36:18,黑龙江,
35,7469214648441556278,,,,,,,,,,,,L1,7469292937621799690,大美哈尔滨 希望家乡越来越好[玫瑰],rice,64913250849,0,0,2025-02-09 13:51:28,山东,
36,7469214648441556278,,,,,,,,,,,,L1,7469459779145499442,@2z🌼 今年尔滨绝了,一咦益,54436284878,0,1,2025-02-10 00:38:58,西藏,
37,7469214648441556278,,,,,,,,,,,,L1,7469446351227503360,易烊千玺，祝亚冬会圆满,用户6687943172905,105266069089,5,0,2025-02-09 23:46:48,湖南,
