序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7488939131784006948,193万亩农田喝上“智慧水”，30万台农机即将开耕3200万亩良田......山西春耕科技感MAX！#绘说现代化,https://www.douyin.com/video/7488939131784006948,1743654697,49,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2192,126,112,114382,50,video,,,,,,,,,
2,7488939131784006948,,,,,,,,,,,,L1,7489089296940204819,我们云贵川这些高山上，除了用牛耕地，还有其他什么高科技工具吗[捂脸],王员外,86597963114,3,6,2025-04-03 22:11:26,云南,
3,7488939131784006948,,,,,,,,,,,,L1,7489286165260321576,"一亩麦子800块，浇水（几次），化肥（2-3次）。打农药（2-3次）。农耕，暗中。。
你觉得这些东西一套下来多少钱？哪怕是租用。",YUMI,105081153318,2,4,2025-04-04 10:55:25,山西,
4,7488939131784006948,,,,,,,,,,,,L1,7488940923696497417,袁老让全国人民都吃饱，科技让全国农民都走入智慧农业！,兜有米,108960494705,8,0,2025-04-03 12:35:41,江苏,
5,7488939131784006948,,,,,,,,,,,,L1,7488949603217228578,我是一个普通老百姓，真心希望多研发点对老百姓有利的事，有利的政策！,茉栀,1596091542282516,14,1,2025-04-03 13:09:24,江苏,
6,7488939131784006948,,,,,,,,,,,,L1,7488943720617886523,啥时候到我们这里，让我妈也告别打药桶[奋斗][奋斗],二泽麻麻,100880310582,3,1,2025-04-03 12:46:31,山东,
7,7488939131784006948,,,,,,,,,,,,L1,7488947489421476659,种地不再“土里土气”，掏出手机点一点，就能种出一片丰收景象，真·新农人崛起。[赞][赞][赞],无名人,1212133057500970,3,0,2025-04-03 13:01:08,安徽,
8,7488939131784006948,,,,,,,,,,,,L1,7488945265119544122,越来越喜欢关注这些官媒的视频内容了 催人积极向上,🌈Lucky,95387914817,2,1,2025-04-03 12:52:30,贵州,
9,7488939131784006948,,,,,,,,,,,,L1,7489587680738247476,好一幅春的画卷！祝福祖国！,中国航天爱好者,3270364442934084,0,0,2025-04-05 06:25:35,上海,
10,7488939131784006948,,,,,,,,,,,,L1,7489269555585270585,为高速发展的中国科技点赞[赞][赞][赞][赞][赞],随波,3276175419652859,1,0,2025-04-04 09:50:55,山西,
