序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7492360991062248715,搭载Deepseek的机器人在田里巡查，麦田上空的无人机化身“钢铁蜻蜓”来回穿梭......当天府粮仓遇上智慧农业，种地有多强？#绘说现代化,https://www.douyin.com/video/7492360991062248715,1744451250,60,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2524,88,90,123143,67,video,,,,,,,,,
2,7492360991062248715,,,,,,,,,,,,L1,7492364148506297146,天府粮仓 我大四川！[赞][赞][赞],霸霸,97286644507,11,0,2025-04-12 17:59:31,四川,
3,7492360991062248715,,,,,,,,,,,,L1,7492585287803110204,不仅四川，江西种稻大省，也需要AI技术和机械化支持。,亿华播电商学苑,1591723733550413,0,1,2025-04-13 08:17:41,浙江,
4,7492360991062248715,,,,,,,,,,,,L1,7492364307787875107,人工智能，科技兴国[呲牙][比心][赞][玫瑰][发][平安果],奶糖,1235473386192764,9,0,2025-04-12 18:00:09,山东,
5,7492360991062248715,,,,,,,,,,,,L1,7492376519591936831,[赞][赞][鼓掌],用户1911318494881,510588263603454,0,0,2025-04-12 18:47:33,广东,
6,7492360991062248715,,,,,,,,,,,,L1,7492362658197898041,我爱祖国！我为祖国自豪！！,幻唐勿忘,93876203595,7,0,2025-04-12 17:53:43,安徽,
7,7492360991062248715,,,,,,,,,,,,L1,7492367210376839993,我就想弱弱地问一句，天府粮仓的地方为什么要修成大城市，为什么不在山区修大城市[捂脸][捂脸],赖皮大叔,104645443195,0,0,2025-04-12 18:11:23,四川,
8,7492360991062248715,,,,,,,,,,,,L1,7492364858911998729,大数据+农业，种出未来新希望也开启农业智能新篇章，加油[一起加油][一起加油][一起加油],是豆豆呀～,3301188946374363,3,0,2025-04-12 18:02:17,河南,
9,7492360991062248715,,,,,,,,,,,,L1,7492408552716501794,[赞][赞][赞],上官羽落,2458146429731022,0,0,2025-04-12 20:51:50,江苏,
10,7492360991062248715,,,,,,,,,,,,L1,7492373856670958386,中国未来越来越好了[赞],甜心剧场,97697192576,1,0,2025-04-12 18:37:13,四川,
