序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7502686119960562996,一起走进不一样的河南，感受中国式现代化的创新活力。#绘说现代化,https://www.douyin.com/video/7502686119960562996,1746855448,56,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1507,50,28,82641,38,video,,,,,,,,,
2,7502686119960562996,,,,,,,,,,,,L1,7502688370889245440,欢迎来到河南！河南人民欢迎您！,《半糖半伤》,93171299052,2,0,2025-05-10 13:42:50,浙江,
3,7502686119960562996,,,,,,,,,,,,L1,7502694771817022266,我们家有胡辣汤，热干面，大白鹅，馍馍……,冰香服饰精品店,104952264975,1,0,2025-05-10 14:07:37,浙江,
4,7502686119960562996,,,,,,,,,,,,L1,7502718347629675323,安徽呢安徽呢,An,64637969699,0,0,2025-05-10 15:39:05,安徽,
5,7502686119960562996,,,,,,,,,,,,L1,7502752884824965924,欢迎全国朋友来河南,吃饭 睡觉打豆豆,93130568399,0,0,2025-05-10 17:53:08,河南,
6,7502686119960562996,,,,,,,,,,,,L1,7502709628478079770,河南的集合[尬笑]→,🥇圆脸麻麻,4311598608690124,0,0,2025-05-10 15:05:19,河南,
7,7502686119960562996,,,,,,,,,,,,L1,7502704650480583465,请问有没有卷尺能去青岛旅游吗，我没有那么多7W……,印第安夏天,1028739383700094,0,0,2025-05-10 14:45:59,黑龙江,
8,7502686119960562996,,,,,,,,,,,,L1,7502707518985290505,出河南了吗？这对我很重要,米米吖,2535920582011790,0,0,2025-05-10 14:57:05,上海,
9,7502686119960562996,,,,,,,,,,,,L1,7502690926125695783,老家河南欢迎大家的到来[赞][赞][赞],未来已来～鑫,108820112243,2,0,2025-05-10 13:52:44,河南,
10,7502686119960562996,,,,,,,,,,,,L1,7502717181534176057,给河南点[赞],米乐可乐,84461389534,1,0,2025-05-10 15:34:35,湖北,
11,7502686119960562996,,,,,,,,,,,,L1,7502688724673807139,河南确实现在景点人太多了太挤了，五一碰到好几个老外，还以为是新疆人，结果人家是老外[捂脸][捂脸][捂脸],山鬼不识数,96650720004,0,0,2025-05-10 13:44:10,河南,
12,7502686119960562996,,,,,,,,,,,,L1,7503491397796004642,老家河南！大美中原！,平凡的世界,78478736980,0,0,2025-05-12 17:39:00,河南,
13,7502686119960562996,,,,,,,,,,,,L1,7502688159180817152,想看广西哒[可怜][可怜][可怜],呜啦q,65900632098,1,0,2025-05-10 13:41:57,广西,
14,7502686119960562996,,,,,,,,,,,,L1,7502692947466273570,欢迎来安徽，大美安徽欢迎你[比心][比心][比心][比心],小茗麻麻,61551673828,0,0,2025-05-10 14:00:34,安徽,
15,7502686119960562996,,,,,,,,,,,,L1,7503073967382905657,老家河南欢迎你[比心][耶][玫瑰],南瓜,572196608027239,0,0,2025-05-11 14:39:05,河南,
16,7502686119960562996,,,,,,,,,,,,L1,7505267602630968127,来来来，欢迎👏大家都来河南新乡旅游，不仅仅只有胖东来哦，看看我们的山山水水,💫💖开心的荣💞幸福的哼💋💕,101698554204,0,0,2025-05-17 12:31:34,河南,
17,7502686119960562996,,,,,,,,,,,,L1,7502688815930442522,[呲牙][呲牙][呲牙]，欢迎来我们大河南,一个个,685711735662910,1,0,2025-05-10 13:44:33,河南,
18,7502686119960562996,,,,,,,,,,,,L1,7502849272623514427,中国文旅爱人民，河南文旅为人民，洛阳文旅惠人民。河南文旅不断创新，沉浸体验来洛阳。让我们一起关注中国人民网，关注河南文旅，关注洛阳文旅，关注洛阳老城文旅。老家河南，神都洛阳，精彩老城欢迎你[赞][赞],鑫鑫,2727259963918823,0,0,2025-05-11 00:07:09,河南,
19,7502686119960562996,,,,,,,,,,,,L1,7502694723946857273,风景真好漂亮,兰兰,4054597214937831,0,0,2025-05-10 14:07:25,江西,
