序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7505210116377201946,在古村体验一场激情澎湃的马拉松，在白云深处看清晨的第一缕阳光洒在梯田上……山水为卷，文化为魂，江西绘就“诗和远方”新图景👍#绘说现代化 #即梦ai,https://www.douyin.com/video/7505210116377201946,1747442924,50,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,17135,349,102,170171,167,video,,,,,,,,,
2,7505210116377201946,,,,,,,,,,,,L1,7505222164196098831,可是我天天上班，还有和我一样的人吗[捂脸][捂脸],二宝,98271280212,54,8,2025-05-17 09:35:15,甘肃,
3,7505210116377201946,,,,,,,,,,,,L1,7505211997693739836,哇塞，好漂亮，[比心],普雄文旅,825094376527492,5,0,2025-05-17 08:55:43,,
4,7505210116377201946,,,,,,,,,,,,L1,7505354739858146063,秀丽山河看江西[赞][赞],景姐,3940269661365407,0,0,2025-05-17 18:09:41,山西,
5,7505210116377201946,,,,,,,,,,,,L1,7505262006212477706,最美的风景，最美的祖国，希望人类也有最美的灵魂。请保护流浪小动物，不要人类变成恶魔！,王的姑娘,79480745132,3,0,2025-05-17 12:09:50,辽宁,
6,7505210116377201946,,,,,,,,,,,,L1,7505282330262291236,江西老表，你们都能干几碗干饭？昨天一个江西的说我能干几碗干饭[看],臭咸鱼(˵¯͒〰¯͒˵),2893530422586574,3,0,2025-05-17 13:28:43,江苏,
7,7505210116377201946,,,,,,,,,,,,L1,7505259088989881146,向往这样的乡村游，阳光正爬上餐桌，饭菜香气在指尖打转。碗里汤还剩两颗蜜枣，像偷偷藏起的午后秘密——要等你回访时，笑着揭晓。[调皮][调皮][调皮],花点时间养自己,92494046469,2,1,2025-05-17 11:58:26,广东,
8,7505210116377201946,,,,,,,,,,,,L1,7505269621206336271,今天江西南昌还有演唱会哦[飞吻][飞吻][飞吻],忙狗mango🥭,48835843604232,1,0,2025-05-17 12:39:24,山东,
9,7505210116377201946,,,,,,,,,,,,L1,7505267229254484794,婺源是安徽的,莫等闲,53613876963,1,0,2025-05-17 12:30:03,浙江,
10,7505210116377201946,,,,,,,,,,,,L1,7505210777416401703,咱们一直活在最幸福的国度中[比心][比心][比心],锡盟爱情故事,72015985623,3,0,2025-05-17 08:51:08,内蒙古,
11,7505210116377201946,,,,,,,,,,,,L1,7505225709830325027,祖国的大好河山，人间仙境！好美啊！[赞],冰糖妈咪,3947684451859562,3,0,2025-05-17 09:49:03,广东,
12,7505210116377201946,,,,,,,,,,,,L1,7505389959583662902,江西老表,资溪烧烤（东临新区太阳店）,3548864584093379,0,0,2025-05-17 20:26:20,江西,
13,7505210116377201946,,,,,,,,,,,,L1,7505268786976637755,具体位置给一下，下一站去看看，为祖国做贡献,暮暮风,2115094069117031,2,0,2025-05-17 12:36:05,上海,
14,7505210116377201946,,,,,,,,,,,,L1,7505246401355711251,养眼！[赞],酷一酷少一少,3114259215300891,1,0,2025-05-17 11:09:20,山东,
15,7505210116377201946,,,,,,,,,,,,L1,7505234046495589129,大好河山，我爱江西[比心][比心][比心],闽诺家具肖LM,2126927421514243,2,0,2025-05-17 10:21:18,江西,
16,7505210116377201946,,,,,,,,,,,,L1,7505218728696677147,幸福中国🇨🇳,京豆小盆友💗,4040081831104938,7,2,2025-05-17 09:21:54,北京,
17,7505210116377201946,,,,,,,,,,,,L1,7505247180916949810,好山好水好风景，为祖国大好河山美丽的中国点赞。[赞][赞][赞][爱心][爱心][爱心][鼓掌][鼓掌][鼓掌][比心],梨子,3452887503221400,11,0,2025-05-17 11:12:19,广西,
18,7505210116377201946,,,,,,,,,,,,L1,7505216803213067066,祖国的大好河山，人间仙境！好美啊！[赞],平果,97882643247,3,0,2025-05-17 09:14:23,四川,
19,7505210116377201946,,,,,,,,,,,,L1,7505278638380663567,脱轨了脱轨了[看][看],*入画浅相思*,2595302618965292,2,0,2025-05-17 13:14:22,广东,
20,7505210116377201946,,,,,,,,,,,,L1,7505295958293513020,去念了三年书，都没真正了解过江西[捂脸],里予,78019552098,4,0,2025-05-17 14:21:31,广西,
21,7505210116377201946,,,,,,,,,,,,L1,7505217556816020265,江西是个好地方，欢迎来约,海花岛托尼老师,72586511340,1,0,2025-05-17 09:17:23,青海,
22,7505210116377201946,,,,,,,,,,,,L1,7505246651558003490,每天坚持认真看广告[赞][赞][赞][赞][玫瑰][玫瑰][玫瑰][玫瑰],袁桂荣,540560988832788,2,0,2025-05-17 11:10:16,湖北,
23,7505210116377201946,,,,,,,,,,,,L1,7505247734787244858,祖国处处都有美景，就是等你要出去,阳阳的宝藏,96492448231,1,0,2025-05-17 11:14:24,河北,
24,7505210116377201946,,,,,,,,,,,,L1,7505210838082061115,漂亮[赞][赞][赞],重庆火锅底料,701905489125408,0,0,2025-05-17 08:51:13,重庆,
25,7505210116377201946,,,,,,,,,,,,L1,7505310462625170228,如画江西[比心],🍀陌上芊🔥⛱,75990862451,0,0,2025-05-17 15:17:52,江西,
26,7505210116377201946,,,,,,,,,,,,L1,7505211080693007113,我最早,橘子汽水✨,55861788493,0,0,2025-05-17 08:52:11,贵州,
27,7505210116377201946,,,,,,,,,,,,L1,7505296223380751154,列车都脱轨了[捂脸]。,挴秊da,67547629729,3,0,2025-05-17 14:22:41,江苏,
28,7505210116377201946,,,,,,,,,,,,L1,7505211663735653180,好美,清月名风,3892747375483294,0,0,2025-05-17 08:54:27,广东,
29,7505210116377201946,,,,,,,,,,,,L1,7505293097900557090,江西好美呀[赞][赞][赞][赞][赞][赞][赞][赞][赞],新太大,111502224913,1,0,2025-05-17 14:10:30,山西,
30,7505210116377201946,,,,,,,,,,,,L1,7505211661000983356,为什么没有评论,随心ᥫ᭡,2593115561269056,2,0,2025-05-17 08:54:26,江西,
31,7505210116377201946,,,,,,,,,,,,L1,7505225769321841408,幸福中国🇨🇳,冰糖妈咪,3947684451859562,0,0,2025-05-17 09:49:14,广东,
32,7505210116377201946,,,,,,,,,,,,L1,7505249524433208124,好漂亮的,用户9304281635562,3039519228304311,0,0,2025-05-17 11:21:19,浙江,
33,7505210116377201946,,,,,,,,,,,,L1,7505257708561630009,美丽的世界的繁华，[鼓掌][鼓掌][鼓掌]，[呲牙][呲牙][呲牙]，祖国人民万岁，万万岁，[赞][赞][赞],🌸🌸油菜花💝,1251659537199183,2,0,2025-05-17 11:53:06,湖北,
34,7505210116377201946,,,,,,,,,,,,L1,7505211471095612219,第一吗,随便起一个名字,3289387170803035,0,0,2025-05-17 08:53:43,北京,
35,7505210116377201946,,,,,,,,,,,,L1,7505323122440291091,山里山外多美景、真美、[爱心][爱心][爱心][爱心][爱心][爱心][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][赞][赞][赞][赞][赞][赞][赞],兰,1267072359741047,0,0,2025-05-17 16:07:03,四川,
36,7505210116377201946,,,,,,,,,,,,L1,7505216372914635579,人间仙境[赞][赞][赞],颠倒黑白的记忆,1223105660332103,1,0,2025-05-17 09:12:42,山东,
37,7505210116377201946,,,,,,,,,,,,L2,7505258594385068827,那你就多赚点钱（以后退休了，再去游山玩水）反正又搬不走（风景如画一直在）[比心],带刺,96667093728,9,0,2025-05-17 11:56:34,上海,
38,7505210116377201946,,,,,,,,,,,,L2,7505433857215234856,游山玩水对我没有任何吸引力,二宝,98271280212,0,0,2025-05-17 23:16:41,甘肃,
39,7505210116377201946,,,,,,,,,,,,L2,7505360394928522044,嗯,有钱有钱,1094733631599900,0,0,2025-05-17 18:31:33,河北,
40,7505210116377201946,,,,,,,,,,,,L2,7505321125158585146,[赞][赞][赞][赞][赞],伍哥（不定时开播）,2387728160011204,0,0,2025-05-17 15:59:12,四川,
41,7505210116377201946,,,,,,,,,,,,L2,7505314158934786855,[咖啡][咖啡][咖啡][鼓掌][鼓掌][鼓掌][666][666][666][感谢][感谢][感谢][爱心][爱心][爱心][微笑][微笑][微笑][玫瑰][玫瑰][玫瑰][赞][赞][赞],用户277745879074,70783499507827,0,0,2025-05-17 15:32:11,四川,
42,7505210116377201946,,,,,,,,,,,,L2,7505295071647925031,来看看我们贵州那边的山上山下有城镇怎么样？,玉林气象☞台风暴雨追踪自然灾害,3780582052216291,0,0,2025-05-17 14:18:13,广西,
43,7505210116377201946,,,,,,,,,,,,L2,7505282506020979495,天天种田,简简单单☪️☪️,663714840708835,0,0,2025-05-17 13:29:27,四川,
44,7505210116377201946,,,,,,,,,,,,L2,7505281126857851688,我天天去哪里都可以做到，但是我不喜欢跑，我好多年都是这样以前没有条件，现在从2018年都有条件，但我不喜欢跑[泪奔]🈶钱都很难发出去,🌟🐲骏洋玥妈明群星⭐️28星31星%,3061478768519437,0,0,2025-05-17 13:24:04,重庆,
45,7505210116377201946,,,,,,,,,,,,L1,7505229991517455131,列车都脱轨了。,芳,97561786348,2,0,2025-05-17 10:05:33,云南,
