序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7531575111590137115,大有可为大有前途！2024年，我国海洋经济总量首次突破10万亿元，较2012年翻一番！骄傲见证，海洋强国建设风帆正劲！#绘说现代化,https://www.douyin.com/video/7531575111590137115,1753581504,48,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3272,126,81,168813,56,video,,,,,,,,,
2,7531575111590137115,,,,,,,,,,,,L1,7531612292124164921,致敬我日益强大的祖国[爱心][爱心][爱心],卖化橘红的小阿姨,96669487102,2,0,2025-07-27 12:22:21,广东,
3,7531575111590137115,,,,,,,,,,,,L1,7531590247487718186,蓝色引擎，动力澎湃，驾驭梦想，勇往直前。,轻轻的风吹到你的脸上,111085904563,3,0,2025-07-27 10:56:50,北京,
4,7531575111590137115,,,,,,,,,,,,L1,7531647736074076968,向深海科技家致敬[赞][赞][赞],真情永远,4275333762397420,2,0,2025-07-27 14:39:57,湖南,
5,7531575111590137115,,,,,,,,,,,,L1,7567263299314762550,海洋经济对应大学哪个专业,喝不喝果汁,2218129994557539,1,0,2025-10-31 14:06:27,广东,
6,7531575111590137115,,,,,,,,,,,,L1,7531620769550336828,深海科技[赞][赞],LKKKKKKKK,2815200720330299,6,0,2025-07-27 12:55:14,甘肃,
7,7531575111590137115,,,,,,,,,,,,L1,7531579384667996988,祖国美如画[赞],酸菜鱼🐟,2299831282567534,6,0,2025-07-27 10:14:40,四川,
8,7531575111590137115,,,,,,,,,,,,L1,7531586481610474278,漂亮，祖国强大[赞][赞][赞],珍珍,101926707371,2,0,2025-07-27 10:42:11,广东,
9,7531575111590137115,,,,,,,,,,,,L1,7531595866394624818,[赞][赞][赞][赞][赞]愿祖国繁荣昌盛！科技海洋创新使中国越来越强大！,沉默的风,2137055369373395,2,0,2025-07-27 11:18:37,天津,
10,7531575111590137115,,,,,,,,,,,,L1,7531577820083569465,哇塞！好美观[比心]，中国🇨🇳美如画[赞],嫦娥,60766218912,3,0,2025-07-27 10:08:36,四川,
11,7531575111590137115,,,,,,,,,,,,L1,7531586855675904825,祖国美如画[赞],L&sun（离异）,1423243299797712,0,0,2025-07-27 10:43:39,安徽,
12,7531575111590137115,,,,,,,,,,,,L1,7531581889631863598,一个字，强[看][看][看],青年小范,1301421816837742,0,0,2025-07-27 10:24:24,云南,
13,7531575111590137115,,,,,,,,,,,,L1,7531582400603947803,国强民福[比心][赞],🌻魔鬼中的天使👼🏻🌵,65343879327,0,0,2025-07-27 10:26:22,陕西,
14,7531575111590137115,,,,,,,,,,,,L1,7531575832604738347,[鼓掌][鼓掌][鼓掌],对方正在输入中……,1759670614623255,2,0,2025-07-27 10:00:55,贵州,
15,7531575111590137115,,,,,,,,,,,,L1,7531576524043273002,[赞][赞][赞],小余子爱生活,93089240370,2,0,2025-07-27 10:03:35,浙江,
16,7531575111590137115,,,,,,,,,,,,L1,7531584029624124196,@[赞][b赞][赞][害羞],长江,1795935596198505,0,0,2025-07-27 10:32:41,河北,
17,7531575111590137115,,,,,,,,,,,,L1,7531595271534822201,祖国大好河山美如画[赞][赞][赞][赞],@茉莉,483423982980654,0,0,2025-07-27 11:16:20,陕西,
18,7531575111590137115,,,,,,,,,,,,L1,7532052049401479974,我国深海经济越来越发达，祝我的祖国越来越繁荣昌盛！[赞][赞][赞],青青,1971856349080282,0,0,2025-07-28 16:48:52,广东,
19,7531575111590137115,,,,,,,,,,,,L1,7531576606801478451,[玫瑰][玫瑰][玫瑰],有点文化,1063925039505037,1,0,2025-07-27 10:03:51,安徽,
20,7531575111590137115,,,,,,,,,,,,L1,7531620976066429754,深海大有可为,LKKKKKKKK,2815200720330299,2,0,2025-07-27 12:56:03,甘肃,
21,7531575111590137115,,,,,,,,,,,,L1,7531765473029931836,近海野生渔业资源太少了，,第⁷杯长岛冰茶,65980554158,0,0,2025-07-27 22:16:45,湖北,
22,7531575111590137115,,,,,,,,,,,,L1,7531579457564459814,大有可为,遇见❤️‍🔥自己,69968708571,0,0,2025-07-27 10:14:56,广东,
23,7531575111590137115,,,,,,,,,,,,L1,7531706520112972602,现在出海是不是几年就可以买房了,𝙑𝙑,76313778412,2,2,2025-07-27 18:28:01,江苏,
24,7531575111590137115,,,,,,,,,,,,L1,7548780774817612604,*致敬我日益强大的祖国[e爱心][爱心][爱心][一起加油],暖阳光,986696147797936,0,0,2025-09-11 18:44:49,河北,
25,7531575111590137115,,,,,,,,,,,,L1,7531603516911502131,@[赞][d赞][赞][比心],蔚蓝的天空,2482017045846475,0,0,2025-07-27 11:48:20,河北,
26,7531575111590137115,,,,,,,,,,,,L1,7531577712567255867,[赞],晨光博尔特,1344043338982524,0,0,2025-07-27 10:08:11,江苏,
27,7531575111590137115,,,,,,,,,,,,L1,7531605901028295478,^国强民福[t比心][赞][感谢],如约好看,828357075805924,0,0,2025-07-27 11:57:33,浙江,
28,7531575111590137115,,,,,,,,,,,,L1,7538372460389204762,骄傲见证，海洋强国建设风帆正劲。,笑笑，,237971951321320,0,0,2025-08-14 17:35:16,山东,
29,7531575111590137115,,,,,,,,,,,,L1,7531584982612689722,[赞][赞],叙未,1124113445035867,0,0,2025-07-27 10:36:23,河南,
30,7531575111590137115,,,,,,,,,,,,L1,7531582909465543481,[赞][赞][赞],张建富,1490567379303549,0,0,2025-07-27 10:28:22,河南,
31,7531575111590137115,,,,,,,,,,,,L1,7531588601517278011,[赞][赞][赞][赞],lucky依❤️,75915693278,0,0,2025-07-27 10:50:25,四川,
32,7531575111590137115,,,,,,,,,,,,L1,7531584818761433896,[赞][赞][赞],✨时光雨✨,4092860097894553,0,0,2025-07-27 10:35:45,湖南,
33,7531575111590137115,,,,,,,,,,,,L1,7531584989398500154,[赞][赞][赞],范饭的奇遇,100179044928,0,0,2025-07-27 10:36:23,河北,
34,7531575111590137115,,,,,,,,,,,,L1,7539090048354403072,!加强海洋开发z 促进海洋发展[耶],到了,7505754580396246073,0,0,2025-08-16 15:59:58,河北,
35,7531575111590137115,,,,,,,,,,,,L1,7531606041681068863,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞],标子,932856981895661,0,0,2025-07-27 11:58:09,重庆,
36,7531575111590137115,,,,,,,,,,,,L1,7531584652214584116,[赞][赞][赞],水沝淼㵘¹⁴³¹,2406162050078142,0,0,2025-07-27 10:35:08,广东,
37,7531575111590137115,,,,,,,,,,,,L1,7531595111286260537,&国强民福[t比心][赞][耶],招财纳福,2657949736510032,0,0,2025-07-27 11:15:41,河北,
38,7531575111590137115,,,,,,,,,,,,L1,7531610676200997642,[赞][赞][赞][爱心][爱心][爱心][比心][比心][比心][666][666][666],美好夜空,1433362356505469,0,0,2025-07-27 12:16:04,山西,
39,7531575111590137115,,,,,,,,,,,,L1,7531727360078463783,[右边][右边][右边][右边][右边][右边][鼓掌][鼓掌][鼓掌][666][666][666][666][666][爱心][爱心][爱心][感谢][感谢][感谢],金色霞光,109176081382,0,0,2025-07-27 19:48:54,安徽,
40,7531575111590137115,,,,,,,,,,,,L1,7531619301917393724,[赞][赞][赞][赞][赞][赞][赞][赞],快乐,2568072843235916,0,0,2025-07-27 12:49:32,广东,
41,7531575111590137115,,,,,,,,,,,,L1,7531781237745664825,[赞][赞][赞],季子花,111473611737,0,0,2025-07-27 23:17:57,浙江,
42,7531575111590137115,,,,,,,,,,,,L1,7538353455766946617,[赞][赞][赞],姚💞带你吃喝玩乐,7530064527959704634,0,0,2025-08-14 16:21:31,湖北,
