序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7541587568748498202,海南十年再造海上海南！在海洋强国战略指引下，海南正构建“5+4+2”现代海洋产业体系🌊 一起感受中国式现代化的磅礴力量！#绘说现代化#AI大家创,https://www.douyin.com/video/7541587568748498202,1755921600,68,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1502,77,30,81429,20,video,,,,,,,,,
2,7541587568748498202,,,,,,,,,,,,L1,7541626636790285116,祖国越来越强盛,余年,100228635943,0,0,2025-08-23 12:03:06,山东,
3,7541587568748498202,,,,,,,,,,,,L1,7542030223156871977,海南自贸港能成功不？？？,文化人,58670497083,0,0,2025-08-24 14:09:14,海南,
4,7541587568748498202,,,,,,,,,,,,L1,7541634361533449019,[赞][赞][赞]现代化,我心飞扬,82872837467,0,0,2025-08-23 12:33:06,甘肃,
5,7541587568748498202,,,,,,,,,,,,L1,7541633423762473788,我看行。中国造！看准了,小周周,73471795818,0,0,2025-08-23 12:29:27,四川,
6,7541587568748498202,,,,,,,,,,,,L1,7541654146140422969,还有海洋旅游，海景房，还差美东到欧洲大邮轮中国航线最近海南洋浦港进入中国需要发挥。,x信zij,3664009381551919,0,0,2025-08-23 13:49:53,海南,
7,7541587568748498202,,,,,,,,,,,,L1,7543372637230318336,两边都能支援,小猫不吃鱼,2733864738364128,0,0,2025-08-28 04:58:35,海南,
8,7541587568748498202,,,,,,,,,,,,L1,7541627057668096831,[赞][赞][赞],嘻嘻⁰⁰⁷,7418718466176107579,0,0,2025-08-23 12:04:45,湖北,
9,7541587568748498202,,,,,,,,,,,,L1,7541637387026858762,[赞][赞][赞][爱心][爱心][爱心][比心][比心][比心][666][666][666],美好夜空,1433362356505469,0,0,2025-08-23 12:44:49,山西,
10,7541587568748498202,,,,,,,,,,,,L1,7541941426519900928,[赞][赞][赞][赞],胡号,1781663715300140,0,0,2025-08-24 08:24:42,湖南,
11,7541587568748498202,,,,,,,,,,,,L1,7541627909158060800,[赞],聚宝天尊  Ashley,1950954005997803,0,0,2025-08-23 12:08:04,四川,
12,7541587568748498202,,,,,,,,,,,,L1,7541907067050869567,[赞][赞][赞],开发̷̶̷☞票̷̶̷,4294022380394410,0,0,2025-08-24 06:11:28,广东,
13,7541587568748498202,,,,,,,,,,,,L1,7541640316773663522,[赞][赞][赞],@可了个爱🍓🎀,69930320106,0,0,2025-08-23 12:56:13,河北,
14,7541587568748498202,,,,,,,,,,,,L1,7543260212967899962,[666][赞][感谢][求机位3],用户87737838421牛庆祥,738495972268525,0,0,2025-08-27 21:42:13,山东,
15,7541587568748498202,,,,,,,,,,,,L1,7541627634619859769,看得到的话，请去我的视频里面看下最新视频，真的是一件很重要的事情,王者荣耀你活着干嘛呀？,3742371880119251,0,0,2025-08-23 12:06:59,浙江,
16,7541587568748498202,,,,,,,,,,,,L1,7541912217080644394,[赞][赞][赞],开发̷̶̷☞票̷̶̷,4294022380394410,0,0,2025-08-24 06:31:22,广东,
