序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7557154952491502898,新疆午后阳光点亮北京夜景，绿电7毫秒从天山直抵重庆.....风机成林、光伏连片，新疆风光点亮万家灯火👍#绘说现代化 #AI大家创,https://www.douyin.com/video/7557154952491502898,1759537258,42,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,20718,428,341,373203,39,video,,,,,,,,,
2,7557154952491502898,,,,,,,,,,,,L1,7561675181678691098,我一直教育我的孩子要好好学习，将来争取做一名对社会、对国家有用的人，我相信我们的祖国会越来越好，所以邪不胜正[比心][比心][比心],喜甜不喜酸,1200307132439965,3663,0,2025-10-16 12:41:43,四川,
3,7557154952491502898,,,,,,,,,,,,L1,7561712362068460348,乌鲁木齐最想去看看的城市！,Iucky,104751872269,2291,1,2025-10-16 15:05:58,湖北,
4,7557154952491502898,,,,,,,,,,,,L1,7561688699742946090,我的家乡在乌鲁木齐[黄脸祈祷],全屋智能灯光·卫了谁,222550520505504,2704,0,2025-10-16 13:34:09,浙江,
5,7557154952491502898,,,,,,,,,,,,L1,7561616868878238499,我的家乡在乌鲁木齐[玫瑰][玫瑰][玫瑰],Lily✨,3650014795798392,3183,4,2025-10-16 08:55:27,江苏,
6,7557154952491502898,,,,,,,,,,,,L1,7561681376949797692,乌鲁木齐的烤包子[不失礼貌的微笑],polly0779,158776050588888,1003,0,2025-10-16 13:05:44,广西,
7,7557154952491502898,,,,,,,,,,,,L1,7557158699585651497,[敬礼]万里山河，祖国繁荣,🇨🇳为人民服务🎗,73529883323,261,0,2025-10-04 08:35:28,浙江,
8,7557154952491502898,,,,,,,,,,,,L1,7557160820468237096,请问一下各位，可不可以自己家安装一个小型的，够自己用就可以的那种[捂脸],鱼是鱼猫是猫,1935586210624382,263,1,2025-10-04 08:43:40,四川,
9,7557154952491502898,,,,,,,,,,,,L1,7561702186017096502,真的是靠那些风车发电的吗,大宝贝,3947660184922362,513,1,2025-10-16 14:26:31,陕西,
10,7557154952491502898,,,,,,,,,,,,L1,7557159248888759099,向往的地方,牛牛,101922903287,146,0,2025-10-04 08:37:36,江西,
11,7557154952491502898,,,,,,,,,,,,L1,7557207713534067491,好漂亮[蜜蜂狗]想做成壁纸,荳儿了个豆🎀,4398505998690367,86,0,2025-10-04 11:45:39,云南,
