序号,视频ID,视频标题,视频URL,发布时间,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数,层级,评论ID,评论内容,评论用户,评论用户ID,评论点赞数,回复数,评论时间,IP属地,回复目标用户
1,7559762788902653199,世界屋脊“追风逐日”！ 水力资源可开发量1.8亿千瓦，光伏资源可开发量98亿千瓦，风能资源可开发量1.1亿千瓦...西藏的清洁能源资源也太丰富了👍🏻 #绘说现代化  #AI大家创,https://www.douyin.com/video/7559762788902653199,1760144451,46,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,1607,66,20,56645,48,video,,,,,,,,,
2,7559762788902653199,,,,,,,,,,,,L1,7559788011488101177,人类将最艰苦的环境，变为最辉煌的舞台；在最极致的限制里，爆发出最无限的能量。[戳手手],尊尊,1763253384381406,2,0,2025-10-11 10:38:31,重庆,
3,7559762788902653199,,,,,,,,,,,,L1,7559767080868152074,追风逐日，绿色能量拉满！[赞],小赵同学Vlog,3766286562636524,8,0,2025-10-11 09:17:18,河南,
4,7559762788902653199,,,,,,,,,,,,L1,7559766169013683004,七千万的粉丝[送心][送心][送心]我首牌兄弟们[送心][送心][送心]爱国情怀也想争取第一[送心][送心][送心],Shisheng,104795193082,6,0,2025-10-11 09:13:48,广东,
5,7559762788902653199,,,,,,,,,,,,L1,7560002385876665138,[捂脸]一听这音乐🎶就想起丁同学的农大[尬笑],森林,101928919488,4,0,2025-10-12 00:30:24,陕西,
6,7559762788902653199,,,,,,,,,,,,L1,7570862870012101376,[赞][赞][赞][赞][爱心][爱心][爱心][爱心],༻,2362170521434622,0,0,2025-11-10 06:54:38,四川,
7,7559762788902653199,,,,,,,,,,,,L1,7559763959864443705,中国人的脊梁越来越坚挺了[快哭了][快哭了][快哭了],江流儿,4369902185754731,4,0,2025-10-11 09:05:12,广东,
8,7559762788902653199,,,,,,,,,,,,L1,7563140230610830137,祖国永远繁荣昌盛,用户672334,71543217363,0,0,2025-10-20 11:26:50,江苏,
9,7559762788902653199,,,,,,,,,,,,L1,7559763910736429882,祖国永远繁荣昌盛,一凡人,68368812864,2,0,2025-10-11 09:05:00,江苏,
10,7559762788902653199,,,,,,,,,,,,L1,7559808958131782439,塞上江南！[玫瑰][玫瑰][玫瑰][烟花][烟花][烟花],富而畅电子,3632376830508215,0,0,2025-10-11 11:59:47,广东,
11,7559762788902653199,,,,,,,,,,,,L1,7559766429151970063,祖国强大[赞],寻寻大人,3843507717416216,0,0,2025-10-11 09:14:48,河北,
12,7559762788902653199,,,,,,,,,,,,L1,7559796538995213114,追风逐日[赞][赞][赞],映月泉,4099453708674759,0,0,2025-10-11 11:11:37,吉林,
13,7559762788902653199,,,,,,,,,,,,L1,7559772974157562624,我是点第三个赞的,绿圆小吃,100772962744,1,0,2025-10-11 09:40:11,安徽,
14,7559762788902653199,,,,,,,,,,,,L1,7562862953817735995,[爱心][爱心][爱心],久处不厌,413833782104512,0,0,2025-10-19 17:30:51,山东,
15,7559762788902653199,,,,,,,,,,,,L1,7559766446148207360,这个叶片单个都巨大无比，当时运输的时候在路上见到，巨物恐惧症都要犯了。但是能上路运输[赞],咘噗哩咯叭卟,95572754125,4,0,2025-10-11 09:14:51,青海,
16,7559762788902653199,,,,,,,,,,,,L1,7559764522560652032,那么科幻，我还以为ai呢,苦瓜,81417970536,2,0,2025-10-11 09:07:24,安徽,
17,7559762788902653199,,,,,,,,,,,,L1,7559764899845817148,[泣不成声][泣不成声][泣不成声],怀念,109482799235,1,0,2025-10-11 09:08:50,浙江,
18,7559762788902653199,,,,,,,,,,,,L1,7562813644389368635,追风逐日[赞][赞][赞][赞][赞][赞],上海亮薇淋浴房,101526386092,0,0,2025-10-19 14:19:32,上海,
19,7559762788902653199,,,,,,,,,,,,L1,7559803902628823867,[爱心][爱心][爱心],一生回味一念,66914680249,0,0,2025-10-11 11:40:12,山东,
20,7559762788902653199,,,,,,,,,,,,L1,7559764099598533412,[赞][赞][666][666][666],12,102999569453,0,0,2025-10-11 09:05:47,云南,
21,7559762788902653199,,,,,,,,,,,,L1,7560350425322554169,[赞][赞][赞],范平,3825926048330398,0,0,2025-10-12 23:00:59,重庆,
22,7559762788902653199,,,,,,,,,,,,L1,7559955287017603886,[赞][赞][赞][赞][赞][赞],2304美林书单💖,98532290511,0,0,2025-10-11 21:27:36,广东,
23,7559762788902653199,,,,,,,,,,,,L1,7560138378328949567,[赞][赞][赞],海边阳光7🌈,94309884107,0,0,2025-10-12 09:18:09,江苏,
24,7559762788902653199,,,,,,,,,,,,L1,7559853502056022843,[赞][赞][赞],我心飞扬,82872837467,0,0,2025-10-11 14:52:40,甘肃,
25,7559762788902653199,,,,,,,,,,,,L1,7559819313251992374,[玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰][玫瑰],用户6931811165396,110784793249,0,0,2025-10-11 12:40:00,广东,
26,7559762788902653199,,,,,,,,,,,,L1,7559766618311557907,第一！第一！第一！,丶柚子的柚丶,70799943043,0,0,2025-10-11 09:15:33,山东,
27,7559762788902653199,,,,,,,,,,,,L1,7559779917065044774,[赞][赞][赞],小凤8013,3544438793845143,0,0,2025-10-11 10:07:06,河北,
28,7559762788902653199,,,,,,,,,,,,L1,7559824260424975164,[爱心],战神0,105620254276,0,0,2025-10-11 12:59:10,湖南,
29,7559762788902653199,,,,,,,,,,,,L1,7559792171025957689,[赞][赞][赞],😂碧😂草😂仙😂山😂⛰️😂,1546389394822954,0,0,2025-10-11 10:54:40,黑龙江,
30,7559762788902653199,,,,,,,,,,,,L1,7559774708246414095,[爱心][爱心][爱心][爱心][爱心][爱心],西安-田龙,3195609997908656,1,0,2025-10-11 09:46:53,陕西,
31,7559762788902653199,,,,,,,,,,,,L1,7559764183970579239,刚开始还以为又是哪个游戏广告[捂脸][捂脸][捂脸],人间有啥留恋的,3830311831485035,1,0,2025-10-11 09:06:04,浙江,
32,7559762788902653199,,,,,,,,,,,,L1,7566216058538492672,价格多少？,aoin,7559415498238592058,0,0,2025-10-28 18:29:12,山西,
33,7559762788902653199,,,,,,,,,,,,L1,7559767320047518505,第一,无题,88582800978,0,0,2025-10-11 09:18:14,湖南,
34,7559762788902653199,,,,,,,,,,,,L1,7559766926831960889,太厉害了我的国[流泪],活字发布logo 标志设计,2370155458081524,1,0,2025-10-11 09:16:44,山东,
35,7559762788902653199,,,,,,,,,,,,L1,7559765341874897722,厉害[赞][赞][赞],大天种业农大高同学,2801180438176727,0,0,2025-10-11 09:10:33,云南,
36,7559762788902653199,,,,,,,,,,,,L1,7559764539324351290,越来越好了。,江威智能简经理,105543113155,0,0,2025-10-11 09:07:27,湖北,
37,7559762788902653199,,,,,,,,,,,,L1,7559763917145735999,厉害了我的国[赞][赞][赞],自娱自乐的耿正,2911124040455507,0,0,2025-10-11 09:05:03,山东,
38,7559762788902653199,,,,,,,,,,,,L1,7559786800660923190,微风我闪耀，红日，我家房门,木子,474578253791504,0,0,2025-10-11 10:33:51,河北,
39,7559762788902653199,,,,,,,,,,,,L1,7563276461994689289,就业、八小时双休什么时候落实？！,修改,103427967974,0,0,2025-10-20 20:15:30,山东,
40,7559762788902653199,,,,,,,,,,,,L1,7560578011004928768,丹青能写此，千载尚传观,建筑 资质 加盟 合作,7436280677975082042,0,0,2025-10-13 13:44:08,内蒙古,
41,7559762788902653199,,,,,,,,,,,,L1,7561303812289790778,"祝老板生意好好好,好运财运把你找.",电力光伏工程资质加盟分公司,111189009753,0,0,2025-10-15 12:40:36,内蒙古,
42,7559762788902653199,,,,,,,,,,,,L1,7560581032815411968,孤举者难起，众行者易趋,建筑 资质 加盟 合作,7436280677975082042,0,0,2025-10-13 13:55:51,内蒙古,
43,7559762788902653199,,,,,,,,,,,,L1,7559763824355214131,祝福我们的祖国繁荣富强[比心][比心][比心],青藏高原,96695690550,1,0,2025-10-11 09:04:40,河南,
44,7559762788902653199,,,,,,,,,,,,L1,7560590594893923087,孤举者难起，众行者易趋,建筑 资质 加盟 合作,7436280677975082042,0,0,2025-10-13 14:33:00,内蒙古,
45,7559762788902653199,,,,,,,,,,,,L1,7560143697804935996,愿你福气连连🧧，财运滚滚！,做工程资质的人,1405625564927515,0,0,2025-10-12 09:38:47,内蒙古,
46,7559762788902653199,,,,,,,,,,,,L1,7561667144863564603,"祝愿您的生意财源滚滚滚,如日中天,兴旺发达,开张大吉~~~",电力光伏工程资质加盟分公司,111189009753,0,0,2025-10-16 12:10:32,内蒙古,
47,7559762788902653199,,,,,,,,,,,,L1,7560568379800666889,事业宏展蒸蒸日上，生意兴隆八面财宝，愿您财源滚滚来,资质分公司,1776421971695133,0,0,2025-10-13 13:06:44,内蒙古,
48,7559762788902653199,,,,,,,,,,,,L1,7560550319474885434,努力不分早晚，赚钱不分阶段，只要坚持，财富总会如约而至。,建筑 工程 施工 资质 加盟 分公司,307503035594235,0,0,2025-10-13 11:56:39,内蒙古,
49,7559762788902653199,,,,,,,,,,,,L1,7559787858937398075,凡事都要朝对自己最有利的方面总结，取悦自己，让自己心情变好是一件极其重要的能力，没有之一。,全国资质加盟分公司（包含劳务设计监理）,2900935595798539,0,0,2025-10-11 10:37:56,内蒙古,
